Motion Through Fluids Experiment Thu, Feb 15, 2024 11:26 AM
Time(sec)	Position(mm)
0.003	2.835
0.053	2.838
0.103	3.270
0.153	4.351
0.203	4.807
0.253	4.150
0.303	2.637
0.353	1.123
0.403	22.925
0.453	27.563
0.503	32.600
0.553	37.614
0.603	43.024
0.653	48.201
0.703	53.356
0.753	58.693
0.803	64.009
0.853	69.505
0.903	74.980
0.953	80.435
1.003	86.074
1.053	91.697
1.103	97.501
1.153	103.091
1.203	108.664
1.253	114.425
1.303	119.976
1.353	125.714
1.403	131.443
1.453	137.164
1.503	142.877
1.553	148.584
1.603	154.484
1.653	160.382
1.703	166.080
1.753	171.974
1.803	177.871
1.853	183.768
1.903	189.472
1.953	195.379
2.003	201.095
2.053	207.017
2.103	212.751
2.153	218.694
2.203	224.651
2.253	230.421
2.303	236.406
2.353	242.407
2.403	248.428
2.453	254.468
2.503	260.327
2.553	266.412
2.603	272.317
2.653	278.044
2.703	284.002
2.753	289.575
