Motion Through Fluids Experiment Thu, Feb 15, 2024 11:21 AM
Time(sec)	Position(mm)
0.050	2.880
0.100	2.455
0.150	2.453
0.200	2.673
0.250	4.371
0.300	4.368
0.350	3.116
0.400	2.045
0.450	0.971
0.500	4.811
0.550	5.240
0.600	5.684
0.650	7.194
0.700	7.847
0.750	46.976
0.800	51.504
0.850	56.017
0.900	60.718
0.950	65.200
1.000	69.871
1.050	74.528
1.100	79.170
1.150	83.801
1.200	88.618
1.250	93.224
1.300	98.020
1.350	102.604
1.400	107.380
1.450	112.146
1.500	116.905
1.550	121.856
1.600	126.600
1.650	131.538
1.700	136.271
1.750	141.197
1.800	145.920
1.850	150.839
1.900	155.558
1.950	160.472
2.000	165.189
2.050	170.104
2.100	175.020
2.150	179.938
2.200	183.086
2.250	188.008
2.300	192.934
2.350	197.863
2.400	202.798
2.450	207.738
2.500	212.685
2.550	217.640
2.600	222.405
2.650	227.378
2.700	232.161
2.750	237.156
2.801	241.961
2.850	246.980
2.900	251.811
2.950	256.656
3.000	261.718
3.050	266.796
3.100	271.688
3.150	276.598
3.200	281.730
3.250	286.679
