Motion Through Fluids Experiment Thu, Feb 15, 2024 11:22 AM
Time(sec)	Position(mm)
0.032	3.076
0.082	2.858
0.132	3.044
0.182	3.694
0.232	3.069
0.282	3.071
0.332	4.126
0.382	4.128
0.432	4.544
0.482	2.230
0.532	4.287
0.582	5.781
0.632	5.801
0.682	6.246
0.732	6.687
0.782	7.130
0.832	46.542
0.882	51.076
0.932	55.593
0.982	60.094
1.032	64.782
1.082	69.458
1.132	74.119
1.182	78.765
1.232	83.601
1.282	88.424
1.332	93.234
1.382	97.832
1.432	102.620
1.482	107.399
1.532	112.169
1.582	117.127
1.632	121.882
1.682	126.825
1.732	131.961
1.782	136.894
1.832	141.819
1.882	146.743
1.932	150.286
1.982	155.007
2.032	159.924
2.082	164.839
2.132	169.755
2.182	174.670
2.232	179.587
2.282	184.507
2.332	189.627
2.382	194.553
2.432	199.681
2.482	204.617
2.532	209.757
2.582	214.707
2.632	219.863
2.682	224.829
2.732	230.007
2.782	234.994
2.832	240.193
2.882	245.206
2.932	250.231
2.982	255.271
3.032	260.325
3.082	265.397
