4,0.369,3
4,0.368,4
5,0.421,5
5,0.425,6
6,0.469,7
6,0.465,8
7,0.508,9
7,0.512,10
8,0.548,11
8,0.55,12
9,0.582,13
9,0.587,14
10,0.619,15
10,0.616,16
