Black Body Radiation Experiment Thu, Mar 21, 2024 11:40 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.04599
0.00000	0.04760
0.00000	0.04840
0.00000	0.04599
0.00000	0.05178
0.00000	0.04776
0.01015	0.05162
0.01015	0.04566
0.02030	0.04325
0.02030	0.04599
0.02030	0.04711
0.02030	0.04599
0.02030	0.04744
0.02030	0.05146
0.02030	0.05033
0.02030	0.05098
0.02030	0.04856
0.02030	0.04470
0.02030	0.04357
0.01015	0.04711
0.01015	0.04389
0.01015	0.05033
0.01015	0.04744
0.01015	0.04840
0.01015	0.04824
0.01015	0.04969
0.01015	0.04744
0.02030	0.05082
0.02030	0.04840
0.04061	0.04277
0.06091	0.05065
0.07107	0.04502
0.07107	0.04406
0.07107	0.04840
0.08122	0.04840
0.09137	0.04583
0.11168	0.04406
0.11168	0.04357
0.12183	0.04647
0.12183	0.04711
0.11168	0.04502
0.11168	0.04373
0.10152	0.04583
0.10152	0.04744
0.13198	0.04631
0.18274	0.04486
0.28426	0.04695
0.35533	0.04776
0.51777	0.04727
0.58883	0.04776
0.61929	0.04824
0.68020	0.04711
0.75127	0.04663
0.79188	0.04856
0.93401	0.04856
1.00508	0.04808
1.03553	0.04856
1.16751	0.04631
1.24873	0.05082
1.27919	0.04840
1.39086	0.04679
1.45178	0.04856
1.48223	0.04341
1.60406	0.04840
1.71574	0.04760
1.76650	0.04921
2.03046	0.04293
2.21320	0.04872
2.29442	0.04647
2.50761	0.04647
2.65990	0.04631
2.94416	0.04744
3.12690	0.04872
3.27919	0.04679
3.27919	0.04840
3.27919	0.04792
3.27919	0.04888
3.27919	0.04985
3.27919	0.05114
3.27919	0.04615
3.27919	0.04856
3.27919	0.04647
3.28934	0.04760
3.31980	0.04647
3.39086	0.04470
3.44162	0.04840
3.63452	0.04776
3.79695	0.04502
3.90863	0.04840
4.23350	0.04518
4.50761	0.04905
4.67005	0.04534
5.05584	0.04293
5.29949	0.04872
5.40102	0.04921
5.71574	0.05001
5.94924	0.04679
6.07107	0.04727
6.49746	0.04647
6.83249	0.04550
6.96447	0.04888
7.41117	0.05323
7.67513	0.04808
7.80711	0.04792
8.31472	0.05339
8.52792	0.05001
8.69036	0.05838
9.10660	0.06611
9.41117	0.07335
9.67513	0.07914
10.26396	0.10973
10.57868	0.15013
10.84264	0.18570
11.19797	0.24638
11.38071	0.28662
11.57360	0.32042
11.89848	0.37322
12.07107	0.39720
12.25381	0.41313
12.69036	0.42070
12.94416	0.41024
13.14721	0.39382
13.62437	0.33314
13.83756	0.29789
13.94924	0.28260
14.25381	0.23141
14.47716	0.19487
14.55838	0.18103
14.82234	0.14546
14.98477	0.12099
15.06599	0.11616
15.28934	0.09476
15.44162	0.08413
15.52284	0.08140
15.80711	0.06514
16.03046	0.06691
16.13198	0.06273
16.45685	0.05581
16.71066	0.05243
16.84264	0.05307
17.24873	0.05500
17.50254	0.05049
17.64467	0.04840
18.18274	0.04663
18.58883	0.05114
18.76142	0.05017
19.24873	0.05001
19.51269	0.05065
19.66497	0.05065
20.12183	0.05033
20.34518	0.05049
20.49746	0.04953
20.83249	0.04502
21.01523	0.04744
21.11675	0.04518
21.44162	0.04953
21.65482	0.04953
21.74619	0.04856
22.01015	0.04905
22.21320	0.04583
22.29442	0.04679
22.57868	0.04663
22.81218	0.04840
22.92386	0.04711
23.25888	0.04937
23.48223	0.04727
23.57360	0.04502
23.89848	0.04905
24.16244	0.04824
24.29442	0.04695
24.67005	0.04470
24.85279	0.04406
24.94416	0.05146
25.20812	0.05065
25.40102	0.04937
25.48223	0.04341
25.68528	0.04856
25.83756	0.04566
25.89848	0.05082
26.12183	0.04389
26.25381	0.04872
26.31472	0.04406
26.51777	0.04840
26.72081	0.04502
26.81218	0.04792
27.14721	0.04454
27.41117	0.04518
27.50254	0.04744
27.85787	0.04277
28.11168	0.04792
28.23350	0.04776
28.62944	0.05065
28.89340	0.04921
29.02538	0.04792
29.37056	0.04856
29.62437	0.04792
29.72589	0.04502
30.00000	0.04599
