Black Body Radiation Experiment Thu, Mar 21, 2024 11:54 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.05902
0.00000	0.06369
0.00000	0.06305
0.00000	0.06144
0.02030	0.06707
0.04061	0.06611
0.05076	0.06466
0.02030	0.06595
0.03046	0.06418
0.03046	0.06369
0.03046	0.06659
0.03046	0.06530
0.03046	0.05999
0.05076	0.06595
0.08122	0.06337
0.18274	0.06369
0.39594	0.06482
0.53807	0.06627
0.88325	0.06369
1.15736	0.06192
1.24873	0.06707
1.46193	0.06498
1.60406	0.06546
1.65482	0.06305
1.93909	0.06482
2.17259	0.06723
2.68020	0.06868
2.99492	0.07029
3.65482	0.06578
3.89848	0.06852
4.13198	0.07061
4.67005	0.07206
4.98477	0.07335
5.27919	0.07303
5.84772	0.07432
6.08122	0.07979
6.19289	0.07625
6.61929	0.08252
6.88325	0.08671
7.05584	0.09379
7.66497	0.10828
8.03046	0.12244
8.35533	0.14385
9.04569	0.20727
9.40102	0.26827
9.71574	0.34698
10.29442	0.55751
10.55838	0.68998
10.78173	0.80394
11.12690	0.97182
11.37056	1.03524
11.60406	1.09399
12.06091	1.12940
12.24365	1.11958
12.42640	1.08513
12.78173	0.98502
12.99492	0.90921
13.11675	0.86414
13.46193	0.72008
13.64467	0.63622
13.74619	0.58262
14.02030	0.47237
14.17259	0.40074
14.28426	0.36646
14.57868	0.28759
14.82234	0.24268
14.96447	0.22385
15.34010	0.17427
15.61421	0.15447
15.74619	0.14111
16.13198	0.12373
16.41624	0.10763
16.55838	0.10055
16.92386	0.09218
17.18782	0.08607
17.32995	0.08478
17.75635	0.07657
18.05076	0.07319
18.19289	0.07834
18.58883	0.07190
18.78173	0.07174
18.93401	0.07206
19.28934	0.06933
19.54315	0.06836
19.67513	0.07126
20.14213	0.06675
20.42640	0.06868
20.59898	0.06659
20.85279	0.06659
21.06599	0.06933
21.17766	0.06659
21.49239	0.06707
21.69543	0.06788
21.77665	0.06450
22.05076	0.06900
22.24365	0.06546
22.34518	0.06418
22.61929	0.06627
22.79188	0.06627
22.90355	0.06530
23.20812	0.06337
23.39086	0.06852
23.50254	0.06208
23.77665	0.06337
24.01015	0.06401
24.10152	0.06401
24.41624	0.06047
24.59898	0.06192
24.74112	0.06756
25.07614	0.06047
25.31980	0.06418
25.69543	0.06192
25.92893	0.06450
26.22335	0.06546
26.38579	0.06257
26.49746	0.06273
26.72081	0.06144
26.87310	0.06369
27.14721	0.06176
27.31980	0.06224
27.59391	0.06289
27.77665	0.06611
28.05076	0.06160
28.22335	0.06450
28.31472	0.06385
28.61929	0.06578
28.81218	0.06337
29.13706	0.06562
29.36041	0.06321
29.73604	0.06418
30.01015	0.06305
