Black Body Radiation Experiment Thu, Mar 21, 2024 11:38 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.04309
0.00000	0.04293
0.00000	0.04679
0.00000	0.04196
0.00000	0.04760
0.00000	0.04615
0.00000	0.04679
0.00000	0.04711
0.00000	0.04518
0.00000	0.04438
0.00000	0.04406
0.00000	0.04534
0.00000	0.04534
0.00000	0.04744
0.00000	0.04631
0.00000	0.04695
0.00000	0.04438
0.00000	0.04615
0.00000	0.04615
0.00000	0.04212
0.00000	0.04502
0.00000	0.04502
0.00000	0.04261
0.00000	0.04824
0.00000	0.04454
0.00000	0.04695
0.00000	0.04148
0.00000	0.04583
0.00000	0.04438
0.00000	0.04534
0.00000	0.04180
0.00000	0.04647
0.00000	0.04695
0.00000	0.04470
0.00000	0.04341
0.00000	0.04454
0.00000	0.04840
0.00000	0.04583
0.00000	0.04422
0.00000	0.04566
0.00000	0.04695
0.00000	0.04566
0.00000	0.04615
0.00000	0.04566
0.00000	0.04212
0.00000	0.04840
0.00000	0.04808
0.00000	0.04792
0.00000	0.04486
0.00000	0.04502
0.00000	0.04486
0.00000	0.04389
0.00000	0.04663
0.00000	0.04357
0.00000	0.04615
0.00000	0.04744
0.00000	0.04406
0.00000	0.04422
0.00000	0.04663
0.00000	0.04228
0.00000	0.04824
0.00000	0.04647
0.00000	0.04566
0.00000	0.04486
0.00000	0.04711
0.00000	0.04518
0.00000	0.04550
0.00000	0.04325
0.00000	0.04727
0.00000	0.04357
0.00000	0.04776
0.00000	0.04132
0.00000	0.04502
0.00000	0.04341
0.00000	0.04631
0.00000	0.04534
0.00000	0.04212
0.00000	0.04905
0.00000	0.04550
0.00000	0.04856
0.00000	0.04470
0.00000	0.04663
0.00000	0.04003
0.00000	0.04695
0.00000	0.04486
0.00000	0.04341
0.00000	0.04711
0.00000	0.04406
0.00000	0.04727
0.00000	0.04454
0.00000	0.04245
0.00000	0.04937
0.00000	0.04566
0.02030	0.04776
0.03046	0.04744
0.04061	0.04534
0.09137	0.04470
0.13198	0.04631
0.18274	0.04711
0.16244	0.04389
0.16244	0.04856
0.19289	0.04711
0.19289	0.04647
0.19289	0.04550
0.19289	0.04663
0.20305	0.04261
0.27411	0.04615
0.40609	0.04679
0.47716	0.04550
0.78173	0.04583
1.04569	0.04808
1.17766	0.04373
1.52284	0.04824
1.69543	0.04583
1.77665	0.04309
2.06091	0.04776
2.32487	0.04856
2.47716	0.04695
2.78173	0.04615
3.02538	0.04711
3.13706	0.04212
3.51269	0.04647
3.66497	0.04792
3.71574	0.04438
3.86802	0.04695
4.01015	0.04695
4.10152	0.04422
4.28426	0.04727
4.42640	0.04647
4.47716	0.04534
4.67005	0.04647
4.84264	0.04679
4.91371	0.04583
5.20812	0.04373
5.44162	0.04566
5.55330	0.04534
5.94924	0.04470
6.26396	0.04760
6.38579	0.04921
6.87310	0.04824
7.17766	0.04341
7.31980	0.05001
7.65482	0.04550
7.81726	0.05082
8.00000	0.04760
8.33503	0.05114
8.41624	0.05548
8.46701	0.05613
8.69036	0.05870
8.85279	0.06047
9.04569	0.06643
9.51269	0.08091
9.78680	0.09411
9.97970	0.11359
10.28426	0.15576
10.43655	0.17620
10.60914	0.19713
10.92386	0.23592
11.15736	0.25443
11.36041	0.27519
11.77665	0.29660
12.00000	0.30143
12.22335	0.30561
12.82234	0.27712
13.18782	0.25572
13.35025	0.23447
13.79695	0.19503
14.07107	0.16558
14.20305	0.15608
14.57868	0.12067
14.87310	0.10554
15.00508	0.10120
15.31980	0.08220
15.49239	0.07480
15.58376	0.07061
15.88832	0.06321
16.11168	0.06063
16.22335	0.05677
16.47716	0.05548
16.67005	0.04888
16.79188	0.05339
17.18782	0.04921
17.49239	0.05049
17.66497	0.04937
18.10152	0.05178
18.36548	0.04695
18.48731	0.05001
18.85279	0.04727
19.09645	0.04663
19.24873	0.04792
19.74619	0.04695
20.07107	0.04422
20.27411	0.04486
20.65990	0.04711
20.93401	0.04583
21.05584	0.04985
21.43147	0.04679
21.69543	0.04663
21.83756	0.04438
22.25381	0.04727
22.54822	0.04744
22.70051	0.04760
23.08629	0.04776
23.36041	0.04695
23.44162	0.04776
23.84772	0.04583
24.16244	0.04518
24.29442	0.04518
24.77157	0.04566
25.03553	0.04357
25.18782	0.04631
25.65482	0.04486
25.95939	0.04840
26.09137	0.04566
26.48731	0.04534
26.76142	0.04293
26.89340	0.04599
27.30964	0.04647
27.68528	0.04727
27.82741	0.04277
28.42640	0.04615
28.79188	0.04647
28.96447	0.04647
29.41117	0.04357
29.60406	0.04695
29.72589	0.04921
30.15228	0.04615
