Black Body Radiation Experiment Thu, Mar 21, 2024 12:03 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.07158
0.00000	0.07255
0.00000	0.07238
0.00000	0.07061
0.00000	0.06949
0.00000	0.07448
0.00000	0.07351
0.00000	0.07158
0.00000	0.07351
0.00000	0.07158
0.00000	0.07174
0.00000	0.07094
0.00000	0.07110
0.00000	0.07303
0.00000	0.07174
0.00000	0.07335
0.00000	0.07383
0.00000	0.07255
0.00000	0.07319
0.00000	0.07528
0.00000	0.07061
0.00000	0.07319
0.00000	0.07061
0.00000	0.07625
0.00000	0.07110
0.00000	0.07593
0.00000	0.07528
-0.01015	0.07238
-0.01015	0.07528
-0.01015	0.07351
-0.01015	0.06997
-0.01015	0.07496
-0.01015	0.07351
-0.01015	0.07206
-0.01015	0.06949
-0.01015	0.07480
-0.01015	0.07190
-0.01015	0.07351
-0.01015	0.07158
-0.01015	0.07544
-0.01015	0.07271
-0.01015	0.07383
-0.01015	0.06997
-0.01015	0.07174
-0.01015	0.07174
-0.01015	0.07351
-0.01015	0.07432
-0.01015	0.07110
-0.01015	0.07190
-0.01015	0.07077
-0.01015	0.07512
-0.01015	0.07464
-0.01015	0.07480
-0.01015	0.06723
-0.01015	0.07367
-0.01015	0.07110
-0.01015	0.07094
-0.01015	0.07383
-0.01015	0.07126
-0.01015	0.07448
-0.01015	0.07415
-0.01015	0.06949
-0.01015	0.07319
-0.01015	0.07287
-0.01015	0.07432
-0.01015	0.07496
-0.01015	0.07094
-0.01015	0.06949
-0.01015	0.07271
-0.01015	0.07480
-0.01015	0.07383
-0.01015	0.06981
-0.01015	0.07335
-0.01015	0.07399
-0.02030	0.07142
-0.14213	0.07045
-0.47716	0.07142
-0.51777	0.07367
-0.44670	0.07432
-0.16244	0.07174
0.18274	0.07432
0.46701	0.07287
0.80203	0.07528
0.92386	0.07222
1.13706	0.07094
1.27919	0.07593
1.35025	0.07657
1.76650	0.07383
2.16244	0.07383
2.56853	0.07126
3.12690	0.07158
3.51269	0.07383
3.68528	0.07432
4.17259	0.07480
4.61929	0.07222
4.81218	0.07110
5.58376	0.07158
6.08122	0.07576
6.29442	0.07480
6.94416	0.07673
7.43147	0.07415
7.67513	0.07914
8.43655	0.08735
8.90355	0.09540
9.32995	0.10892
10.29442	0.17379
10.93401	0.25459
11.48223	0.39849
12.42640	0.65055
12.90355	0.72443
13.34010	0.74503
14.32487	0.63204
14.78173	0.53208
15.17766	0.42907
15.78680	0.30577
16.18274	0.25105
16.36548	0.22626
17.02538	0.17041
17.48223	0.14562
17.71574	0.13468
18.43655	0.11198
18.84264	0.10522
19.05584	0.10023
19.64467	0.09170
20.04061	0.08542
20.33503	0.08220
20.91371	0.07705
21.31980	0.08091
21.52284	0.07818
22.14213	0.07866
22.57868	0.07641
22.73096	0.07770
23.22843	0.07528
23.56345	0.07528
23.75635	0.07576
24.36548	0.07271
24.82234	0.07013
25.05584	0.07029
25.84772	0.07335
26.35533	0.07029
26.59898	0.07464
27.24873	0.07480
27.81726	0.07238
28.67005	0.06916
29.22843	0.07303
29.46193	0.07351
30.42640	0.07174
