Black Body Radiation Experiment Thu, Mar 21, 2024 11:38 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.04615
0.00000	0.04792
0.00000	0.04663
0.00000	0.04534
0.00000	0.04872
0.00000	0.04534
0.00000	0.04872
0.00000	0.04631
0.00000	0.04711
0.00000	0.04084
0.00000	0.04744
0.00000	0.04550
0.00000	0.04840
0.00000	0.04663
0.00000	0.04502
0.00000	0.04695
0.01015	0.04647
0.02030	0.04663
0.02030	0.04888
0.02030	0.04647
0.02030	0.04341
0.01015	0.04454
0.01015	0.04615
0.00000	0.04727
-0.01015	0.04341
0.00000	0.04663
0.01015	0.04454
0.02030	0.04615
0.04061	0.04534
0.06091	0.04534
0.10152	0.04583
0.34518	0.04518
0.50761	0.04856
0.57868	0.04615
0.84264	0.04406
1.05584	0.04486
1.16751	0.04647
1.46193	0.05017
1.67513	0.04776
1.76650	0.04599
2.24365	0.04518
2.50761	0.04615
2.62944	0.04856
2.90355	0.04068
3.08629	0.04422
3.17766	0.04406
3.64467	0.04438
3.89848	0.03697
4.01015	0.04647
4.59898	0.04792
4.83249	0.04808
4.93401	0.04856
5.31980	0.04824
5.64467	0.05017
5.78680	0.04438
6.23350	0.04406
6.51777	0.04776
6.65990	0.04905
7.17766	0.04888
7.51269	0.04824
7.61421	0.04502
8.00000	0.04744
8.26396	0.05226
8.41624	0.05049
8.91371	0.05403
9.15736	0.05259
9.26904	0.05838
9.77665	0.06627
10.03046	0.07303
10.30457	0.08478
10.85279	0.11777
11.12690	0.14047
11.37056	0.16719
11.79695	0.21692
12.09137	0.24220
12.41624	0.26376
12.94416	0.27905
13.22843	0.27616
13.48223	0.25491
14.13198	0.21000
14.52792	0.18280
14.73096	0.16687
15.25888	0.12904
15.58376	0.10731
15.73604	0.10264
16.19289	0.08140
16.49746	0.07464
16.63959	0.06949
17.09645	0.06160
17.40102	0.05661
17.56345	0.05806
18.03046	0.05114
18.36548	0.04921
18.52792	0.04856
18.94416	0.04695
19.26904	0.04824
19.48223	0.04406
20.17259	0.05033
20.54822	0.04599
20.77157	0.04727
21.21827	0.05017
21.60406	0.04470
21.75635	0.04245
22.28426	0.04824
22.64975	0.04953
22.80203	0.04406
23.25888	0.04566
23.58376	0.04550
23.74619	0.04856
24.17259	0.04695
24.39594	0.04550
24.48731	0.04615
24.70051	0.04744
24.84264	0.04438
24.89340	0.04615
25.12690	0.04905
25.28934	0.04856
25.39086	0.04261
25.65482	0.04872
25.81726	0.04905
25.88832	0.04277
26.07107	0.04534
26.22335	0.04937
26.31472	0.04888
26.59898	0.04985
26.80203	0.04647
26.89340	0.04438
27.18782	0.04937
27.39086	0.04341
27.48223	0.04792
27.67513	0.04969
27.77665	0.04631
27.83756	0.04518
28.01015	0.04550
28.15228	0.04679
28.22335	0.04470
28.45685	0.04695
28.63959	0.04406
28.74112	0.04357
28.98477	0.04744
29.15736	0.04679
29.23858	0.04840
29.53299	0.04840
29.77665	0.04679
29.90863	0.04840
30.23350	0.04357
