Black Body Radiation Experiment Thu, Mar 21, 2024 11:49 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.05613
0.00000	0.06047
0.00000	0.05693
0.00000	0.05436
0.00000	0.05645
0.00000	0.05420
0.00000	0.05500
0.00000	0.05999
0.00000	0.05983
0.00000	0.05806
0.00000	0.05886
0.00000	0.05902
0.00000	0.05371
0.00000	0.06080
0.00000	0.06176
0.00000	0.05951
0.00000	0.05854
0.00000	0.05741
0.00000	0.05902
0.00000	0.05951
0.00000	0.05758
0.00000	0.05500
0.00000	0.05870
0.00000	0.05902
0.00000	0.05677
0.01015	0.05935
0.02030	0.05951
0.04061	0.06112
0.04061	0.05725
0.05076	0.05564
0.13198	0.05758
0.28426	0.05645
0.38579	0.05999
0.78173	0.05902
1.11675	0.05790
1.61421	0.05870
1.87817	0.05452
1.98985	0.06080
2.41624	0.05581
2.62944	0.06144
3.02538	0.05999
3.26904	0.05709
3.40102	0.06192
3.74619	0.06112
3.98985	0.05951
4.43655	0.05790
4.65990	0.05854
5.11675	0.06128
5.52284	0.06498
6.15228	0.06530
6.49746	0.06401
6.78173	0.06514
7.36041	0.06965
7.66497	0.07544
7.82741	0.08124
8.46701	0.09669
8.86294	0.10973
9.19797	0.13290
9.89848	0.21242
10.41624	0.29000
11.38071	0.52436
11.73604	0.60999
12.38579	0.69497
12.67005	0.69900
13.22843	0.62479
13.54315	0.55574
14.03046	0.44323
14.35533	0.37209
14.49746	0.33587
14.90355	0.24767
15.21827	0.20163
15.38071	0.18634
15.92893	0.14047
16.30457	0.12357
16.48731	0.11214
17.01523	0.09685
17.46193	0.08526
17.68528	0.08494
18.30457	0.07496
18.63959	0.06981
18.86294	0.06659
19.51269	0.06756
19.92893	0.06659
20.13198	0.06176
20.43655	0.06289
20.72081	0.06128
20.82234	0.06369
21.15736	0.05951
21.43147	0.05677
21.54315	0.06321
22.03046	0.05951
22.38579	0.06160
22.55838	0.05661
23.05584	0.05902
23.46193	0.05677
23.61421	0.05951
24.19289	0.05790
24.63959	0.05822
24.86294	0.06015
25.54315	0.06128
26.04061	0.05645
26.25381	0.05983
26.95431	0.06096
27.43147	0.06031
27.67513	0.05774
28.27411	0.05629
28.73096	0.05886
29.00508	0.05886
29.72589	0.06080
30.10152	0.05854
