Black Body Radiation Experiment Thu, Mar 21, 2024 11:40 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.04711
0.00000	0.04744
0.00000	0.04454
0.00000	0.04792
0.00000	0.04937
0.00000	0.04953
0.00000	0.04808
0.00000	0.05082
0.00000	0.05001
0.00000	0.05017
0.00000	0.05243
0.01015	0.04808
0.01015	0.05146
0.01015	0.04406
0.01015	0.05243
0.01015	0.04953
0.01015	0.04518
0.01015	0.04905
0.01015	0.04792
0.01015	0.05146
0.01015	0.04599
0.01015	0.04905
0.01015	0.04856
0.01015	0.05065
0.01015	0.04921
0.01015	0.05033
0.04061	0.05130
0.08122	0.04921
0.31472	0.05001
0.57868	0.04760
0.71066	0.04985
1.13706	0.04808
1.30964	0.04711
1.34010	0.04679
1.38071	0.04969
1.43147	0.05065
1.47208	0.04985
1.71574	0.04905
1.92893	0.05194
2.03046	0.04969
2.32487	0.04647
2.42640	0.04663
2.45685	0.04824
2.64975	0.04921
2.84264	0.04856
2.94416	0.05001
3.14721	0.04534
3.19797	0.04760
3.21827	0.05226
3.36041	0.04937
3.47208	0.04824
3.51269	0.04937
3.61421	0.05033
3.70558	0.05049
3.75635	0.05194
4.00000	0.05146
4.20305	0.04921
4.34518	0.04969
4.64975	0.05178
5.00508	0.04969
5.16751	0.04550
5.64467	0.05098
6.04061	0.04647
6.22335	0.04905
6.77157	0.05001
7.17766	0.05130
7.37056	0.05259
8.09137	0.04953
8.52792	0.05532
8.74112	0.05725
9.21827	0.06804
9.49239	0.07963
9.76650	0.09186
10.39594	0.14417
10.68020	0.18023
11.03553	0.22916
11.63452	0.30851
11.92893	0.34440
12.17259	0.37579
12.67005	0.38947
12.87310	0.37821
13.03553	0.36114
13.39086	0.31205
13.59391	0.28437
13.70558	0.27326
14.01015	0.22529
14.18274	0.19697
14.25381	0.18425
14.51777	0.15206
14.74112	0.13146
14.83249	0.12260
15.16751	0.09749
15.41117	0.08912
15.54315	0.08220
15.86802	0.06916
16.09137	0.06482
16.20305	0.06772
16.51777	0.05741
16.78173	0.05500
16.92386	0.05291
17.40102	0.05243
17.71574	0.05468
17.86802	0.05082
18.30457	0.05146
18.60914	0.04679
18.78173	0.04937
19.34010	0.05033
19.64467	0.04550
19.80711	0.04953
20.25381	0.04486
20.49746	0.05049
20.60914	0.04373
20.88325	0.04727
21.06599	0.04856
21.14721	0.04486
21.40102	0.04760
21.61421	0.04792
21.69543	0.04985
21.91878	0.05082
22.12183	0.05082
22.19289	0.05065
22.45685	0.04695
22.65990	0.05082
22.74112	0.04679
22.97462	0.04856
23.12690	0.04969
23.19797	0.04599
23.48223	0.05194
23.72589	0.04631
23.82741	0.04921
24.14213	0.04727
24.37563	0.04615
24.47716	0.04486
24.86294	0.05017
25.12690	0.04840
25.23858	0.04760
25.53299	0.04647
25.73604	0.04953
25.81726	0.04760
26.13198	0.05001
26.36548	0.04727
26.46701	0.04470
26.81218	0.04872
27.08629	0.04776
27.21827	0.05033
27.58376	0.04921
27.82741	0.05065
27.93909	0.04583
28.29442	0.04583
28.52792	0.04808
28.62944	0.04776
28.98477	0.04744
29.19797	0.04792
29.29949	0.04341
29.65482	0.04888
29.87817	0.04856
30.01015	0.05001
