Black Body Radiation Experiment Thu, Mar 21, 2024 11:51 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.06208
0.00000	0.05741
0.00000	0.06192
0.00000	0.05774
0.00000	0.06176
0.00000	0.05806
0.00000	0.06015
0.00000	0.05629
0.00000	0.06224
0.00000	0.05790
0.00000	0.05967
0.00000	0.05725
0.00000	0.06128
0.00000	0.06063
0.00000	0.06096
0.00000	0.06353
0.00000	0.05951
0.01015	0.06192
0.02030	0.05919
0.05076	0.05967
0.11168	0.06321
0.16244	0.05822
0.34518	0.06160
0.52792	0.06224
0.61929	0.06289
0.82234	0.05613
1.01523	0.06047
1.11675	0.06289
1.46193	0.05902
1.63452	0.05967
1.68528	0.06176
1.92893	0.06015
2.12183	0.06112
2.21320	0.06144
2.52792	0.05725
2.79188	0.06337
2.92386	0.05919
3.36041	0.05999
3.73604	0.06015
3.93909	0.05854
4.60914	0.06240
5.09645	0.06643
5.37056	0.06305
6.00000	0.06257
6.30457	0.06450
6.51777	0.06578
7.13706	0.06643
7.55330	0.06884
7.78680	0.06965
8.72081	0.08252
9.19797	0.09202
10.04061	0.12952
10.40609	0.17218
10.88325	0.26119
11.14721	0.31382
11.39086	0.39012
12.01015	0.57570
12.35533	0.69159
12.99492	0.87943
13.26904	0.92965
13.80711	0.93641
14.02030	0.88361
14.26396	0.82728
14.63959	0.68837
14.94416	0.59840
15.07614	0.54673
15.52284	0.41410
15.76650	0.33072
16.15228	0.23704
16.43655	0.19777
16.59898	0.17669
17.04569	0.13484
17.36041	0.11504
17.91878	0.09701
18.23350	0.08494
18.72081	0.07963
19.02538	0.07383
19.59391	0.07142
19.96954	0.06788
20.16244	0.07045
20.57868	0.06852
20.89340	0.06144
21.02538	0.06224
21.46193	0.06514
21.77665	0.05902
21.92893	0.06369
22.37563	0.06337
22.75127	0.06176
22.92386	0.06224
23.43147	0.06015
23.80711	0.06353
23.96954	0.05870
24.45685	0.06305
24.79188	0.05741
24.94416	0.06401
25.36041	0.06273
25.68528	0.05967
26.23350	0.06096
26.60914	0.05870
27.17766	0.05725
27.60406	0.06080
28.21320	0.06240
28.56853	0.05902
28.72081	0.05951
29.21827	0.05645
29.57360	0.06224
29.74619	0.06015
30.33503	0.06514
