Black Body Radiation Experiment Thu, Mar 21, 2024 11:53 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.05597
0.00000	0.06514
0.00000	0.05870
0.00000	0.06257
0.00000	0.06418
0.00000	0.06224
0.00000	0.06160
0.00000	0.06385
0.00000	0.06192
0.00000	0.06514
0.00000	0.06289
0.00000	0.06482
0.00000	0.06208
0.01015	0.06224
0.02030	0.06015
0.02030	0.06353
0.03046	0.06208
0.03046	0.06337
0.03046	0.06047
0.04061	0.06273
0.11168	0.05806
0.26396	0.06321
0.35533	0.06466
0.64975	0.06595
0.81218	0.05854
0.85279	0.06273
0.91371	0.06224
0.97462	0.05902
1.02538	0.05951
1.25888	0.05838
1.35025	0.06080
1.41117	0.06530
1.55330	0.06224
1.64467	0.06224
1.71574	0.06321
1.95939	0.06063
2.22335	0.06160
2.39594	0.06466
2.68020	0.06305
2.84264	0.06176
2.92386	0.06208
3.18782	0.06192
3.41117	0.06112
3.52284	0.06369
3.90863	0.06289
4.12183	0.06530
4.28426	0.06176
4.54822	0.06466
4.73096	0.06739
4.82234	0.06144
5.23858	0.06080
5.45178	0.06176
5.56345	0.06305
5.90863	0.06611
6.18274	0.06691
6.31472	0.06450
6.75127	0.06466
7.06599	0.06240
7.23858	0.06273
7.65482	0.07013
7.91878	0.07174
8.06091	0.07045
8.58883	0.07496
8.85279	0.08172
8.98477	0.08027
9.44162	0.09154
9.67513	0.09395
9.79695	0.10264
10.23350	0.12791
10.44670	0.13757
10.64975	0.15383
10.84264	0.18844
10.94416	0.20807
11.04569	0.22771
11.30964	0.27085
11.45178	0.30835
11.62437	0.33732
11.98985	0.43760
12.19289	0.50327
12.42640	0.57103
12.86294	0.73875
13.05584	0.81682
13.26904	0.87895
13.76650	0.97906
14.03046	0.99580
14.27411	0.98936
14.75127	0.90116
14.97462	0.81810
15.08629	0.77642
15.46193	0.63429
15.77665	0.54142
15.90863	0.49007
16.37563	0.36565
16.71066	0.29596
16.88325	0.26940
17.35025	0.19809
17.74619	0.15962
17.91878	0.14916
18.40609	0.11777
18.77157	0.10329
18.94416	0.09556
19.51269	0.08462
19.82741	0.08220
20.01015	0.07673
20.38579	0.07432
20.67005	0.07383
20.78173	0.06933
21.20812	0.06482
21.51269	0.06691
21.63452	0.06997
22.09137	0.06884
22.47716	0.06450
22.62944	0.06096
23.07614	0.06707
23.37056	0.06643
23.82741	0.06144
24.17259	0.06578
24.31472	0.06466
24.75127	0.06643
25.05584	0.06096
25.46193	0.06015
25.71574	0.06772
25.83756	0.06192
26.21320	0.06208
26.43655	0.06353
26.55838	0.06385
26.90355	0.06418
27.17766	0.06385
27.54315	0.06176
27.76650	0.06015
28.09137	0.06450
28.35533	0.06273
28.50761	0.06385
28.98477	0.05919
29.35025	0.06208
29.50254	0.05790
29.89848	0.05822
30.17259	0.06047
