Black Body Radiation Experiment Thu, Mar 21, 2024 11:49 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.05741
0.00000	0.05581
0.00000	0.05677
0.01015	0.05838
0.01015	0.05967
0.04061	0.05774
0.05076	0.05693
0.06091	0.05581
0.25381	0.05741
0.40609	0.05709
0.46701	0.05597
0.67005	0.05870
0.87310	0.05581
0.97462	0.05999
1.42132	0.05613
1.66497	0.05725
1.91878	0.05806
2.39594	0.05725
2.75127	0.05307
2.92386	0.05693
3.49239	0.05725
3.83756	0.05902
4.04061	0.05806
4.73096	0.06047
5.07614	0.05838
5.21827	0.05677
5.85787	0.05854
6.17259	0.05790
6.34518	0.05790
6.83249	0.06112
7.05584	0.05854
7.20812	0.05645
7.86802	0.06257
8.20305	0.06321
8.41624	0.06128
8.92386	0.06836
9.24873	0.06884
9.43147	0.07448
10.14213	0.08413
10.56853	0.09621
10.93401	0.11246
11.60406	0.16976
11.92893	0.21741
12.23350	0.27262
12.78173	0.44838
13.10660	0.53176
13.36041	0.61465
13.89848	0.73489
14.16244	0.77931
14.39594	0.78945
14.89340	0.73940
15.19797	0.67469
15.50254	0.59856
15.95939	0.47719
16.29442	0.38947
16.46701	0.35084
16.96447	0.25523
17.27919	0.20357
17.46193	0.18328
17.98985	0.13902
18.31472	0.11616
18.47716	0.11246
18.96447	0.09025
19.37056	0.08011
20.07107	0.07190
20.48731	0.07061
20.70051	0.07013
21.16751	0.06836
21.54315	0.06466
22.12183	0.05999
22.46701	0.06418
23.05584	0.06385
23.45178	0.05983
24.02030	0.06385
24.43655	0.06128
24.62944	0.05806
25.22843	0.05870
25.62437	0.06031
25.80711	0.05629
26.38579	0.05484
26.77157	0.05822
26.95431	0.05886
27.56345	0.06015
28.03046	0.05790
28.22335	0.05919
28.83249	0.05999
29.24873	0.05935
29.45178	0.05581
30.04061	0.06224
