x-axis,1,2
second,Volt,Volt
-25.00000E-03,+4.53762566E+00,+12.75495011E+00
-24.97500E-03,+4.55270104E+00,+12.76500036E+00
-24.95000E-03,+4.53762566E+00,+12.73484961E+00
-24.92500E-03,+4.51752516E+00,+12.71474911E+00
-24.90000E-03,+4.53762566E+00,+12.71474911E+00
-24.87500E-03,+4.53762566E+00,+12.75495011E+00
-24.85000E-03,+4.52757541E+00,+12.69464861E+00
-24.82500E-03,+4.54265079E+00,+12.74489986E+00
-24.80000E-03,+4.53762566E+00,+12.71474911E+00
-24.77500E-03,+4.53762566E+00,+12.71474911E+00
-24.75000E-03,+4.53762566E+00,+12.71474911E+00
-24.72500E-03,+4.54265079E+00,+12.71474911E+00
-24.70000E-03,+4.51752516E+00,+12.71474911E+00
-24.67500E-03,+4.52255029E+00,+12.70469886E+00
-24.65000E-03,+4.52757541E+00,+12.67454810E+00
-24.62500E-03,+4.53260054E+00,+12.64439735E+00
-24.60000E-03,+4.51752516E+00,+12.63434710E+00
-24.57500E-03,+4.52255029E+00,+12.63434710E+00
-24.55000E-03,+4.52757541E+00,+12.63434710E+00
-24.52500E-03,+4.51752516E+00,+12.61424660E+00
-24.50000E-03,+4.53762566E+00,+12.67454810E+00
-24.47500E-03,+4.51250004E+00,+12.59414610E+00
-24.45000E-03,+4.51752516E+00,+12.59414610E+00
-24.42500E-03,+4.50747491E+00,+12.63434710E+00
-24.40000E-03,+4.49742466E+00,+12.67454810E+00
-24.37500E-03,+4.51752516E+00,+12.65444760E+00
-24.35000E-03,+4.47732416E+00,+12.55394509E+00
-24.32500E-03,+4.49742466E+00,+12.61424660E+00
-24.30000E-03,+4.51752516E+00,+12.59414610E+00
-24.27500E-03,+4.51250004E+00,+12.55394509E+00
-24.25000E-03,+4.50747491E+00,+12.55394509E+00
-24.22500E-03,+4.51250004E+00,+12.59414610E+00
-24.20000E-03,+4.47732416E+00,+12.55394509E+00
-24.17500E-03,+4.47732416E+00,+12.51374409E+00
-24.15000E-03,+4.49742466E+00,+12.55394509E+00
-24.12500E-03,+4.48234928E+00,+12.59414610E+00
-24.10000E-03,+4.49742466E+00,+12.55394509E+00
-24.07500E-03,+4.50747491E+00,+12.55394509E+00
-24.05000E-03,+4.47732416E+00,+12.53384459E+00
-24.02500E-03,+4.47732416E+00,+12.57404559E+00
-24.00000E-03,+4.49742466E+00,+12.59414610E+00
-23.97500E-03,+4.47229903E+00,+12.52379434E+00
-23.95000E-03,+4.47732416E+00,+12.55394509E+00
-23.92500E-03,+4.48234928E+00,+12.54389484E+00
