x-axis,1,2
second,Volt,Volt
-25.00000E-03,+506.51243E-03,-205.36654E-03
-24.97500E-03,+205.00489E-03,-205.36654E-03
-24.95000E-03,+305.50741E-03,-205.36654E-03
-24.92500E-03,+205.00489E-03,-205.36654E-03
-24.90000E-03,-297.50767E-03,-205.36654E-03
-24.87500E-03,-297.50767E-03,-155.11528E-03
-24.85000E-03,-297.50767E-03,-104.86402E-03
-24.82500E-03,-297.50767E-03,-54.61277E-03
-24.80000E-03,-297.50767E-03,-4.36151E-03
-24.77500E-03,-297.50767E-03,-4.36151E-03
-24.75000E-03,-699.51773E-03,-104.86402E-03
-24.72500E-03,-699.51773E-03,-4.36151E-03
-24.70000E-03,-699.51773E-03,-4.36151E-03
-24.67500E-03,-1.10152778E+00,+196.64352E-03
-24.65000E-03,-1.10152778E+00,+196.64352E-03
-24.62500E-03,-1.10152778E+00,+347.39729E-03
-24.60000E-03,-1.10152778E+00,+397.64854E-03
-24.57500E-03,-1.20203029E+00,+397.64854E-03
-24.55000E-03,-1.50353783E+00,+397.64854E-03
-24.52500E-03,-1.50353783E+00,+397.64854E-03
-24.50000E-03,-1.50353783E+00,+598.65357E-03
-24.47500E-03,-1.60404035E+00,+598.65357E-03
-24.45000E-03,-1.70454286E+00,+799.65860E-03
-24.42500E-03,-1.80504537E+00,+799.65860E-03
-24.40000E-03,-1.90554789E+00,+799.65860E-03
-24.37500E-03,-1.90554789E+00,+1.00066362E+00
-24.35000E-03,-1.90554789E+00,+1.00066362E+00
-24.32500E-03,-2.20705543E+00,+1.20166865E+00
-24.30000E-03,-2.70956799E+00,+1.20166865E+00
-24.27500E-03,-2.30755794E+00,+1.15141739E+00
-24.25000E-03,-2.30755794E+00,+1.30217116E+00
-24.22500E-03,-2.30755794E+00,+1.40267368E+00
-24.20000E-03,-2.30755794E+00,+1.60367870E+00
-24.17500E-03,-2.70956799E+00,+1.60367870E+00
-24.15000E-03,-2.70956799E+00,+1.70418122E+00
-24.12500E-03,-3.11157805E+00,+1.80468373E+00
-24.10000E-03,-2.70956799E+00,+2.00568876E+00
-24.07500E-03,-3.11157805E+00,+1.95543750E+00
-24.05000E-03,-3.11157805E+00,+2.10619127E+00
-24.02500E-03,-3.41308559E+00,+2.20669378E+00
-24.00000E-03,-3.51358810E+00,+2.20669378E+00
-23.97500E-03,-3.51358810E+00,+2.40769881E+00
-23.95000E-03,-3.51358810E+00,+2.40769881E+00
-23.92500E-03,-3.61409061E+00,+2.45795007E+00
-23.90000E-03,-3.91559815E+00,+2.60870384E+00
-23.87500E-03,-3.91559815E+00,+2.75945761E+00
-23.85000E-03,-4.11660318E+00,+2.70920635E+00
-23.82500E-03,-4.21710569E+00,+2.96046263E+00
-23.80000E-03,-4.31760821E+00,+2.80970886E+00
-23.77500E-03,-4.31760821E+00,+3.01071389E+00
-23.75000E-03,-4.31760821E+00,+3.21171892E+00
-23.72500E-03,-4.41811072E+00,+3.26197017E+00
-23.70000E-03,-4.71961826E+00,+3.41272394E+00
-23.67500E-03,-4.71961826E+00,+3.41272394E+00
-23.65000E-03,-4.71961826E+00,+3.51322646E+00
-23.62500E-03,-4.71961826E+00,+3.76448274E+00
-23.60000E-03,-4.71961826E+00,+3.61372897E+00
-23.57500E-03,-5.02112580E+00,+3.81473400E+00
-23.55000E-03,-5.12162831E+00,+3.91523651E+00
-23.52500E-03,-5.02112580E+00,+3.81473400E+00
-23.50000E-03,-5.12162831E+00,+4.01573902E+00
-23.47500E-03,-5.12162831E+00,+4.01573902E+00
-23.45000E-03,-5.12162831E+00,+4.01573902E+00
-23.42500E-03,-5.42313585E+00,+4.21674405E+00
-23.40000E-03,-5.52363837E+00,+4.21674405E+00
-23.37500E-03,-5.52363837E+00,+4.41774908E+00
-23.35000E-03,-5.52363837E+00,+4.41774908E+00
-23.32500E-03,-5.92564842E+00,+4.41774908E+00
-23.30000E-03,-5.92564842E+00,+4.61875410E+00
-23.27500E-03,-5.82514591E+00,+4.61875410E+00
-23.25000E-03,-5.92564842E+00,+4.61875410E+00
-23.22500E-03,-6.12665345E+00,+4.81975913E+00
-23.20000E-03,-5.92564842E+00,+4.81975913E+00
-23.17500E-03,-5.92564842E+00,+5.02076416E+00
-23.15000E-03,-6.32765847E+00,+5.02076416E+00
-23.12500E-03,-6.22715596E+00,+5.07101541E+00
-23.10000E-03,-6.32765847E+00,+5.02076416E+00
-23.07500E-03,-6.32765847E+00,+5.07101541E+00
-23.05000E-03,-6.32765847E+00,+5.22176918E+00
-23.02500E-03,-6.32765847E+00,+5.22176918E+00
-23.00000E-03,-6.32765847E+00,+5.22176918E+00
-22.97500E-03,-6.32765847E+00,+5.22176918E+00
-22.95000E-03,-6.52866350E+00,+5.32227170E+00
-22.92500E-03,-6.72966853E+00,+5.42277421E+00
-22.90000E-03,-6.72966853E+00,+5.42277421E+00
-22.87500E-03,-6.83017104E+00,+5.42277421E+00
-22.85000E-03,-6.72966853E+00,+5.42277421E+00
-22.82500E-03,-6.72966853E+00,+5.62377924E+00
-22.80000E-03,-6.32765847E+00,+5.62377924E+00
-22.77500E-03,-7.13167858E+00,+5.67403049E+00
-22.75000E-03,-7.13167858E+00,+5.82478426E+00
-22.72500E-03,-7.13167858E+00,+5.97553803E+00
-22.70000E-03,-7.13167858E+00,+6.02578929E+00
-22.67500E-03,-7.13167858E+00,+6.02578929E+00
-22.65000E-03,-7.53368863E+00,+6.12629180E+00
-22.62500E-03,-7.53368863E+00,+6.22679432E+00
-22.60000E-03,-7.53368863E+00,+6.22679432E+00
