60,1:68,106,144,181,219,
60,2:709,747,785,823,861,
30,1:1191,1227,1264,1301,1337,
30,2:1725,1761,1798,1835,1872,
15,1:2086,2121,2158,2194,2229,
15,2:2537,2574,2610,2646,2682,
-60,1:3290,3328,3365,3403,3441,
-60,2:3797,3835,3872,3910,3948,
-30,1:,4365,4401,4438,4475,4511,
-30,2:,4790,4826,4863,4900,4936,
-15,1:5247,5283,5319,5356,5392,
-15,2:5696,5732,5769,5805,5841,
