Black Body Radiation Experiment Thu, Mar 21, 2024 10:34 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.27931
0.00000	-0.25790
0.00000	-0.23440
0.00000	-0.23666
0.00000	-0.24406
0.00000	-0.28527
0.01015	-0.24857
0.03046	-0.27995
0.04061	-0.21686
0.05076	-0.22845
0.10152	-0.19062
0.15228	-0.21444
0.17259	-0.25919
0.17259	-0.18209
0.17259	-0.24165
0.18274	-0.17485
0.18274	-0.18515
0.19289	-0.26016
0.24365	-0.25404
0.31472	-0.25227
0.35533	-0.25404
0.37563	-0.18628
0.48731	-0.23231
0.56853	-0.21010
0.62944	-0.25211
0.74112	-0.22909
0.84264	-0.22813
0.90355	-0.18901
1.11675	-0.19191
1.27919	-0.18434
1.36041	-0.21187
1.55330	-0.26981
1.69543	-0.26981
1.75635	-0.19352
2.03046	-0.19738
2.19289	-0.23794
2.29442	-0.19094
2.52792	-0.25501
2.77157	-0.25742
2.91371	-0.19078
3.38071	-0.20784
3.67513	-0.17726
3.84772	-0.23714
4.27411	-0.22201
4.55838	-0.18064
4.70051	-0.20286
4.95431	-0.27062
5.12690	-0.26257
5.20812	-0.20173
5.46193	-0.22941
5.59391	-0.20253
5.67513	-0.26418
5.84772	-0.22941
5.93909	-0.25983
5.98985	-0.19867
6.14213	-0.20978
6.26396	-0.18290
6.33503	-0.26048
6.57868	-0.26402
6.80203	-0.25694
6.92386	-0.24776
7.28934	-0.23875
7.52284	-0.23778
7.64467	-0.23231
7.97970	-0.25227
8.20305	-0.21943
8.33503	-0.24342
8.64975	-0.25983
8.87310	-0.21477
9.00508	-0.24293
9.40102	-0.24841
9.61421	-0.20640
9.75635	-0.24309
10.07107	-0.21074
10.28426	-0.19449
10.43655	-0.17807
10.71066	-0.25694
10.89340	-0.24293
10.96447	-0.18499
11.12690	-0.22426
11.19797	-0.20865
11.21827	-0.24165
11.31980	-0.18016
11.40102	-0.17485
11.44162	-0.25533
11.55330	-0.17501
11.62437	-0.18515
11.67513	-0.22587
11.84772	-0.19143
12.00000	-0.19432
12.09137	-0.21654
12.34518	-0.21155
12.53807	-0.22877
12.63959	-0.19851
12.93401	-0.25565
13.12690	-0.24245
13.20812	-0.17243
13.50254	-0.18773
13.69543	-0.18322
13.86802	-0.16567
14.13198	-0.21734
14.35533	-0.19304
14.55838	-0.17115
14.87310	-0.18998
15.11675	-0.15875
15.22843	-0.21782
15.68528	-0.15972
15.93909	-0.21493
16.07107	-0.17437
16.41624	-0.18161
16.59898	-0.16873
16.68020	-0.19271
16.96447	-0.19754
17.19797	-0.15231
17.32995	-0.21396
17.86802	-0.19239
18.14213	-0.18096
18.26396	-0.20833
18.64975	-0.17372
18.95431	-0.08069
19.09645	-0.09099
19.56345	0.02715
19.82741	0.05210
19.96954	0.15254
20.41624	0.32171
20.63959	0.48653
20.80203	0.60001
21.28934	0.76982
21.57360	0.82808
21.84772	0.91436
22.18274	0.93737
22.38579	0.91999
22.56853	0.89198
22.90355	0.72974
23.13706	0.65618
23.22843	0.66487
23.56345	0.46544
23.79695	0.40686
23.89848	0.29258
24.19289	0.24123
24.38579	0.13532
24.46701	0.08751
24.70051	-0.01405
24.86294	-0.06829
24.93401	-0.01486
25.21827	-0.08519
25.45178	-0.09582
25.56345	-0.17099
25.93909	-0.19159
26.15228	-0.21300
26.26396	-0.15006
26.59898	-0.16519
26.85279	-0.16777
26.94416	-0.19915
27.20812	-0.22813
27.40102	-0.23102
27.47208	-0.16471
27.65482	-0.19867
27.76650	-0.18402
27.81726	-0.21799
28.05076	-0.24889
28.24365	-0.22684
28.32487	-0.24132
28.63959	-0.20269
28.90355	-0.25919
29.04569	-0.18145
29.48223	-0.18708
29.77665	-0.22298
29.92893	-0.21251
30.37563	-0.22571
30.70051	-0.20801
30.86294	-0.24519
31.29949	-0.21750
31.64467	-0.25307
31.80711	-0.20897
32.30457	-0.19899
32.61929	-0.24599
32.74112	-0.19223
33.18782	-0.19191
33.51269	-0.23456
33.64467	-0.18177
34.00000	-0.18096
34.22335	-0.23006
34.35533	-0.18724
34.80203	-0.18161
35.04569	-0.25372
35.15736	-0.20495
35.47208	-0.19738
35.70558	-0.25130
35.79695	-0.21525
36.04061	-0.22652
36.20305	-0.22426
36.31472	-0.24648
36.57868	-0.22861
36.70051	-0.21380
36.77157	-0.25275
36.98477	-0.24454
37.10660	-0.18644
37.17766	-0.21911
37.39086	-0.20446
37.52284	-0.17099
37.60406	-0.19642
37.84772	-0.18676
38.03046	-0.20125
38.12183	-0.17099
38.40609	-0.18193
38.62944	-0.25404
38.74112	-0.20833
39.03553	-0.23698
39.24873	-0.17115
39.34010	-0.20768
39.62437	-0.19078
39.80711	-0.20221
39.88832	-0.17243
40.03046	-0.21509
40.09137	-0.19819
40.12183	-0.21348
40.24365	-0.18515
40.37563	-0.17581
40.41624	-0.22861
40.57868	-0.19803
40.69036	-0.21750
40.73096	-0.19175
40.93401	-0.24696
41.07614	-0.23183
41.13706	-0.16551
41.32995	-0.20768
41.48223	-0.20591
41.54315	-0.22507
41.74619	-0.17147
41.88832	-0.18354
41.94924	-0.22314
42.10152	-0.22104
42.20305	-0.22652
42.23350	-0.16117
42.34518	-0.22249
42.42640	-0.20286
