Black Body Radiation Experiment Thu, Mar 21, 2024 10:18 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.17549
0.00000	-0.12479
0.00000	-0.09356
0.00000	-0.14411
0.00000	-0.14829
0.00000	-0.14652
0.00000	-0.11755
0.00000	-0.10097
0.00000	-0.08149
0.00000	-0.06524
0.00000	-0.09002
0.00000	-0.10515
0.00000	-0.08439
0.00000	-0.08503
0.00000	-0.12592
0.00000	-0.11642
0.00000	-0.08922
0.01015	-0.08857
0.01015	-0.10370
0.01015	-0.08632
0.01015	-0.06604
0.01015	-0.07473
0.02030	-0.08536
0.02030	-0.10789
0.02030	-0.03932
0.02030	-0.03208
0.02030	-0.03594
0.02030	-0.07393
0.02030	-0.06491
0.02030	-0.01968
0.02030	-0.06845
0.03046	-0.08181
0.03046	-0.05992
0.03046	-0.06749
0.03046	-0.01019
0.03046	-0.05349
0.13198	-0.02982
0.38579	-0.05590
0.57868	-0.08568
0.69036	-0.01534
0.96447	-0.03626
1.16751	-0.05638
1.26904	-0.00455
1.55330	-0.06588
1.75635	-0.01437
1.94924	-0.03546
2.34518	-0.08986
2.63959	-0.04013
2.82234	-0.07312
3.22843	-0.09131
3.49239	-0.05284
3.61421	-0.07135
4.09137	-0.08375
4.43655	-0.03562
4.63959	-0.06894
5.11675	-0.08471
5.43147	-0.08471
5.56345	-0.02612
6.03046	-0.01453
6.44670	-0.06507
7.10660	-0.08294
7.54315	-0.05558
7.75635	-0.08471
8.36548	-0.07908
8.77157	-0.02419
9.37056	-0.05284
9.75635	-0.07489
10.28426	-0.01824
10.60914	-0.06974
11.05584	-0.09678
11.38071	-0.07860
11.54315	-0.05268
12.11168	-0.04383
12.57868	-0.05059
12.80203	-0.08648
13.46193	-0.11803
13.94924	-0.07425
14.15228	-0.10049
14.80203	-0.08069
15.22843	-0.11014
15.42132	-0.09727
15.87817	-0.09662
16.21320	-0.12077
16.41624	-0.10789
16.99492	-0.13574
17.42132	-0.10049
17.61421	-0.13058
18.27411	-0.12640
18.75127	-0.04946
18.98477	-0.09228
19.62437	-0.00472
20.05076	-0.02773
20.22335	0.04051
20.64975	0.12244
20.95431	0.18908
21.20812	0.25491
21.71574	0.31479
21.98985	0.39784
22.22335	0.44178
22.80203	0.36050
23.10660	0.30159
23.39086	0.23817
23.82741	0.22320
24.15228	0.11520
24.29442	0.14176
24.73096	0.00253
25.02538	-0.02741
25.15736	0.01524
25.54315	-0.04528
25.84772	-0.03385
25.95939	-0.11690
26.35533	-0.07377
26.60914	-0.12350
26.73096	-0.08133
27.15736	-0.13976
27.50254	-0.10193
27.65482	-0.16583
28.16244	-0.14571
28.47716	-0.17662
28.62944	-0.12463
29.12690	-0.11304
29.47208	-0.16487
29.63452	-0.10306
30.11168	-0.14266
30.40609	-0.13332
30.90355	-0.11545
31.18782	-0.19030
31.69543	-0.17050
32.02030	-0.18756
32.57868	-0.19819
32.97462	-0.13123
33.20812	-0.18354
33.83756	-0.18837
34.20305	-0.12447
34.42640	-0.19352
34.98477	-0.18402
35.31980	-0.13364
35.52284	-0.18628
36.05076	-0.16406
36.39594	-0.11948
36.58883	-0.14668
37.14721	-0.10902
37.48223	-0.15167
37.65482	-0.11626
38.08122	-0.13960
38.40609	-0.17034
38.82234	-0.14169
39.09645	-0.12543
39.54315	-0.16889
39.84772	-0.13751
40.18274	-0.15827
40.40609	-0.16728
40.53807	-0.10081
40.88325	-0.16133
41.09645	-0.12463
41.21827	-0.12254
41.62437	-0.10869
41.88832	-0.08890
42.01015	-0.17678
42.37563	-0.11465
42.64975	-0.14813
42.76142	-0.10177
43.14721	-0.16245
43.45178	-0.14507
43.58376	-0.11111
44.03046	-0.10483
44.31472	-0.08101
44.75127	-0.09839
45.05584	-0.07538
45.18782	-0.13268
45.62437	-0.10193
45.92893	-0.14378
46.40609	-0.07232
46.73096	-0.10306
47.20812	-0.06604
47.58376	-0.06765
48.13198	-0.08198
48.45685	-0.05236
48.98477	-0.09405
49.30964	-0.06974
49.88832	-0.08020
50.24365	-0.05654
50.80203	-0.10338
51.14721	-0.06668
51.31980	-0.11578
51.76650	-0.05928
52.10152	-0.09678
52.52792	-0.06379
52.81218	-0.10274
52.97462	-0.03015
53.42132	-0.04544
53.75635	-0.02757
54.23350	-0.04640
54.52792	-0.01421
54.98477	-0.01647
55.29949	-0.03675
55.76650	-0.01099
56.11168	-0.05365
56.27411	-0.02371
56.76142	-0.04560
57.04569	-0.00729
57.19797	-0.07586
57.66497	-0.06475
57.97970	-0.03353
58.15228	-0.07731
58.65990	-0.03337
59.04569	-0.06636
59.25888	0.00140
59.82741	-0.00681
60.21320	-0.05300
60.41624	0.00623
60.93401	0.00414
61.29949	-0.01872
61.48223	-0.01341
62.11168	-0.02210
62.51777	-0.00423
62.71066	-0.02258
63.26904	-0.02982
63.63452	0.00414
64.23350	0.00092
64.61929	-0.04737
64.82234	0.00365
65.40102	-0.00166
65.80711	-0.04560
65.98985	-0.00842
66.53807	-0.00874
66.93401	-0.04962
67.11675	-0.00455
67.67513	-0.00632
68.03046	-0.06298
68.22335	-0.01663
68.78173	-0.03964
69.12690	-0.06845
69.63452	-0.06620
69.96954	-0.01936
70.47716	-0.03755
70.82234	-0.08922
71.37056	-0.08246
71.69543	-0.01486
72.19289	-0.03417
72.48731	-0.07650
72.63959	-0.07039
73.12690	-0.07425
73.46193	-0.03964
73.91878	-0.02129
74.19289	-0.08664
74.64975	-0.08970
74.98477	-0.02709
75.17766	-0.05220
75.72589	-0.02435
76.11168	-0.09067
76.30457	-0.04512
76.82234	-0.07972
77.17766	-0.03723
77.37056	-0.05268
77.89848	0.00027
78.23350	0.00188
78.43655	0.04631
78.97462	0.03037
79.35025	0.11584
79.60406	0.10055
80.03046	0.11456
80.37563	0.19133
80.54822	0.11890
81.00508	0.05468
81.29949	0.03311
81.44162	0.04180
81.86802	0.03375
82.18274	-0.03900
82.33503	0.02023
82.85279	-0.01824
83.22843	-0.00616
83.41117	-0.03063
83.88832	-0.07280
84.24365	-0.04624
84.43655	-0.11368
85.00508	-0.11610
85.37056	-0.07715
85.97970	-0.07602
86.39594	-0.14185
86.59898	-0.09485
87.22843	-0.10548
87.67513	-0.14716
87.89848	-0.10226
88.48731	-0.10596
88.91371	-0.15666
89.12690	-0.10000
89.72589	-0.11513
90.15228	-0.16728
