Black Body Radiation Experiment Thu, Mar 21, 2024 10:19 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.21831
0.00000	-0.23521
0.00000	-0.27014
0.00000	-0.22893
0.00000	-0.22587
0.00000	-0.27239
0.00000	-0.30378
0.00000	-0.28720
0.00000	-0.28993
0.00000	-0.29090
0.00000	-0.32164
0.00000	-0.33194
0.00000	-0.31681
0.00000	-0.33371
0.00000	-0.32229
0.00000	-0.33790
0.00000	-0.31376
0.00000	-0.31939
0.00000	-0.32084
0.00000	-0.32953
0.00000	-0.33275
0.00000	-0.33404
0.00000	-0.32148
0.00000	-0.32454
0.00000	-0.31376
0.00000	-0.32261
0.00000	-0.32567
0.00000	-0.33066
0.00000	-0.32406
0.00000	-0.33323
0.00000	-0.32164
0.00000	-0.31601
0.00000	-0.31794
0.01015	-0.30233
0.03046	-0.30603
0.08122	-0.27126
0.26396	-0.25130
0.41624	-0.25758
0.72081	-0.29460
0.84264	-0.28140
0.87310	-0.23585
1.19797	-0.23891
1.43147	-0.29814
1.52284	-0.23843
1.69543	-0.22619
1.89848	-0.25919
2.01015	-0.23151
2.51777	-0.21219
2.83249	-0.23843
2.96447	-0.28929
3.69543	-0.21782
4.13198	-0.27432
4.32487	-0.22813
4.84264	-0.29589
5.27919	-0.29203
5.45178	-0.22732
6.08122	-0.26981
6.59898	-0.24277
6.86294	-0.29235
7.58376	-0.29235
7.91878	-0.23827
8.10152	-0.28865
8.61929	-0.27657
9.02538	-0.25018
9.25888	-0.27625
9.96954	-0.26820
10.42640	-0.20801
10.71066	-0.23923
11.56345	-0.23923
12.04061	-0.17919
12.27411	-0.27979
13.26904	-0.18451
13.82741	-0.20511
14.00000	-0.24664
14.65990	-0.25790
15.10660	-0.23988
15.31980	-0.25726
15.88832	-0.25034
16.29442	-0.27158
16.48731	-0.24857
17.11675	-0.23102
17.56345	-0.24422
17.82741	-0.22410
18.53807	-0.22523
18.96447	-0.16744
19.19797	-0.21010
20.02030	-0.13815
20.44670	-0.00600
20.64975	0.02812
21.14721	0.19809
21.46193	0.22658
21.75635	0.23914
22.26396	0.29370
22.55838	0.29579
22.71066	0.31398
23.29949	0.17411
23.59391	0.11858
23.89848	0.07464
24.35533	-0.03900
24.69036	-0.08600
