Black Body Radiation Experiment Thu, Mar 21, 2024 10:13 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.14546
0.00000	0.15866
0.00000	0.10779
0.00000	0.12293
0.00000	0.15431
0.00000	0.13870
0.00000	0.13580
0.00000	0.14304
0.00000	0.15479
0.00000	0.15882
0.00000	0.13999
0.00000	0.15158
0.00000	0.14063
0.00000	0.15479
0.00000	0.17170
0.00000	0.15174
0.00000	0.15238
0.00000	0.14321
0.00000	0.17733
0.00000	0.17717
0.00000	0.18457
0.00000	0.15351
0.00000	0.18538
0.00000	0.22755
0.00000	0.21097
0.00000	0.23624
0.00000	0.20775
0.00000	0.18425
0.00000	0.21258
0.00000	0.21757
0.00000	0.19407
0.00000	0.19262
0.00000	0.21596
0.00000	0.20196
0.00000	0.18844
0.00000	0.20566
0.00000	0.19262
0.00000	0.18924
0.00000	0.20212
0.00000	0.19664
0.00000	0.17862
0.00000	0.18457
0.00000	0.20437
0.00000	0.20695
0.00000	0.21532
0.00000	0.19906
0.00000	0.20131
0.00000	0.19552
0.00000	0.19407
0.00000	0.19745
0.00000	0.18361
0.00000	0.19970
0.00000	0.19246
0.00000	0.21338
0.00000	0.20952
0.00000	0.21129
0.00000	0.22385
0.00000	0.20759
0.00000	0.20389
0.00000	0.21725
0.00000	0.20888
0.00000	0.23028
0.01015	0.19069
0.02030	0.22336
0.02030	0.22191
0.02030	0.22755
0.03046	0.19536
0.06091	0.17491
0.21320	0.17636
0.35533	0.20115
0.39594	0.18827
0.44670	0.18522
0.44670	0.18489
0.44670	0.25073
0.46701	0.17170
0.51777	0.19664
0.54822	0.20566
0.68020	0.24042
0.77157	0.21177
0.80203	0.21435
0.89340	0.24590
0.99492	0.22594
1.20812	0.18618
1.37056	0.23222
1.46193	0.19198
1.69543	0.16654
1.85787	0.24300
1.93909	0.17073
2.23350	0.20292
2.46701	0.23318
2.57868	0.24558
2.86294	0.21194
3.05584	0.27567
3.30964	0.25813
3.46193	0.18506
