Black Body Radiation Experiment Thu, Mar 21, 2024 10:12 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.28582
0.00000	0.30545
0.00000	0.26360
0.00000	0.31253
0.00000	0.30497
0.00000	0.27857
0.00000	0.27616
0.00000	0.26376
0.01015	0.27052
0.02030	0.27873
0.03046	0.28195
0.03046	0.34312
0.04061	0.34312
0.09137	0.29113
0.12183	0.33925
0.30457	0.34473
0.46701	0.30191
0.51777	0.35084
0.73096	0.31125
0.84264	0.30449
0.96447	0.35583
1.22843	0.35229
1.42132	0.33104
1.61421	0.33700
1.91878	0.33652
2.13198	0.28887
2.24365	0.32348
2.52792	0.37643
2.73096	0.33587
2.82234	0.33507
3.17766	0.36726
3.37056	0.35100
3.49239	0.35744
3.87817	0.31672
4.21320	0.35969
4.37563	0.31543
4.78173	0.35149
5.05584	0.37804
5.48223	0.31141
5.78680	0.33925
6.11168	0.37483
6.51777	0.36034
6.76142	0.36742
6.89340	0.35889
7.40102	0.35728
7.71574	0.34296
7.90863	0.37064
8.36548	0.33636
8.53807	0.28855
8.74112	0.28968
8.87310	0.33378
8.95431	0.29934
9.27919	0.30690
9.47208	0.28582
9.56345	0.31221
9.71574	0.27680
9.75635	0.22996
9.75635	0.23560
9.76650	0.27294
9.86802	0.21918
10.18274	0.24203
10.49746	0.27407
10.78173	0.25845
10.93401	0.27970
10.98477	0.21934
11.15736	0.26698
11.29949	0.25008
11.39086	0.26650
11.75635	0.22851
12.07107	0.24590
12.21320	0.25153
12.76142	0.28920
13.13706	0.28179
13.29949	0.26392
13.82741	0.23463
14.13198	0.25443
14.25381	0.26859
14.62944	0.29724
14.86294	0.25749
15.25888	0.28469
15.47208	0.25314
15.56345	0.30674
15.79695	0.29547
15.91878	0.26570
15.95939	0.31591
16.12183	0.30529
16.23350	0.29145
16.31472	0.32203
16.65990	0.32831
16.99492	0.29692
17.67513	0.28614
18.18274	0.30835
18.47716	0.31350
19.31980	0.33748
19.96954	0.45096
20.92386	0.58729
21.30964	0.67582
21.87817	0.86349
22.06091	0.90583
22.43655	0.90293
22.72081	0.86076
23.14721	0.85464
23.46193	0.75324
23.90863	0.66519
24.20305	0.60789
24.28426	0.52065
24.72081	0.46255
25.04569	0.41490
25.20812	0.44420
25.68528	0.37225
26.05076	0.37515
26.20305	0.32300
26.60914	0.34456
26.86294	0.28517
26.99492	0.32895
27.39086	0.29628
27.63452	0.32622
28.04061	0.30175
28.33503	0.32235
28.82234	0.30706
29.14721	0.30304
29.58376	0.30851
29.83756	0.28710
30.00000	0.30062
30.51777	0.30320
30.89340	0.31173
31.50254	0.30078
31.83756	0.26344
32.35533	0.25539
32.67005	0.28421
33.20812	0.28726
33.59391	0.29901
34.17259	0.28839
34.47716	0.25362
34.68020	0.29499
35.23858	0.30239
35.59391	0.26602
35.77665	0.28920
36.28426	0.30046
36.63959	0.29016
37.31980	0.31704
37.76650	0.30497
38.02030	0.32638
38.70051	0.31479
39.10660	0.29145
39.36041	0.29177
39.96954	0.28099
40.37563	0.33909
40.60914	0.29934
41.03553	0.29048
41.35025	0.28195
41.46193	0.35261
41.82741	0.30980
42.08122	0.33088
42.19289	0.28260
42.55838	0.33249
42.81218	0.30883
42.93401	0.32509
43.26904	0.28887
43.46193	0.32090
43.55330	0.31527
43.82741	0.35358
44.10152	0.35052
44.24365	0.31495
44.67005	0.32525
44.88325	0.31060
44.97462	0.36195
45.25888	0.35116
45.47208	0.38159
45.55330	0.31318
45.81726	0.34006
46.01015	0.33426
46.11168	0.36034
46.43655	0.32960
46.67005	0.35487
46.77157	0.33346
47.10660	0.38303
47.34010	0.37772
47.45178	0.33185
47.80711	0.33169
48.05076	0.32284
48.18274	0.37821
48.57868	0.34505
48.89340	0.34859
49.02538	0.34360
49.46193	0.38979
49.78680	0.39720
49.95939	0.35551
50.42640	0.34746
50.76142	0.34923
50.93401	0.38754
51.38071	0.40396
51.69543	0.39060
51.86802	0.36646
52.32487	0.35905
52.68020	0.36839
52.81218	0.35889
53.27919	0.41201
53.59391	0.36629
53.73604	0.40863
54.17259	0.38770
54.49746	0.41748
54.63959	0.36597
55.10660	0.37225
55.43147	0.40830
55.90863	0.38722
56.25381	0.41168
56.40609	0.36984
56.84264	0.37193
57.15736	0.39414
57.30964	0.37627
57.77665	0.39623
58.09137	0.36758
58.23350	0.40364
58.73096	0.41989
59.05584	0.38319
59.22843	0.43615
59.74619	0.43905
60.10152	0.39913
60.27411	0.44903
60.78173	0.41635
61.17766	0.40879
61.37056	0.43937
61.92893	0.43792
62.25381	0.40927
62.82234	0.41346
63.15736	0.38352
63.67513	0.39221
64.03046	0.44339
64.59898	0.44355
64.98477	0.38851
65.19797	0.43245
65.73604	0.42166
66.07107	0.38625
66.27411	0.41185
66.81218	0.39881
67.16751	0.39060
67.63452	0.43100
67.94924	0.42022
68.49746	0.38271
68.89340	0.42408
69.47208	0.43663
69.86802	0.40895
70.35533	0.39156
70.70051	0.41539
71.24873	0.43132
71.62437	0.43374
71.82741	0.42842
72.42640	0.44468
72.95431	0.40348
