Black Body Radiation Experiment Thu, Mar 21, 2024 10:42 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-2.00996
0.00000	-2.02831
0.00000	-2.00062
0.00000	-1.97873
0.00000	-1.98131
0.00000	-1.98517
0.00000	-2.01527
0.00000	-2.00545
0.00000	-2.01382
0.00000	-2.01591
0.00000	-1.99740
0.00000	-2.00947
0.00000	-2.00915
0.00000	-2.00819
0.00000	-1.99853
0.00000	-2.00561
0.00000	-2.00432
0.00000	-2.00255
0.00000	-2.01511
0.00000	-2.00239
0.00000	-2.00400
0.00000	-2.00931
0.00000	-2.01173
0.00000	-2.00545
0.00000	-2.00304
0.00000	-2.00722
0.00000	-1.98469
0.00000	-2.00722
0.00000	-2.00255
0.00000	-2.01398
0.00000	-2.01092
0.00000	-2.01318
0.00000	-2.00400
0.00000	-2.00191
0.00000	-1.99515
0.00000	-2.00304
0.00000	-2.01189
0.00000	-2.01446
0.00000	-2.00867
0.00000	-1.98791
0.00000	-1.99563
0.00000	-2.00384
0.00000	-2.00336
0.00000	-2.00642
0.00000	-2.00110
0.00000	-1.99402
0.00000	-2.00545
0.00000	-1.99499
0.00000	-2.01785
0.00000	-2.00239
0.00000	-2.01302
0.00000	-1.99692
0.00000	-2.00674
0.00000	-2.00255
0.00000	-1.99853
0.00000	-2.01849
0.00000	-2.01881
0.00000	-2.01044
0.00000	-2.00416
0.00000	-2.00609
0.00000	-1.99998
0.00000	-2.00465
0.00000	-2.01446
0.00000	-2.01624
0.00000	-2.00143
0.00000	-2.00304
0.00000	-2.00223
0.00000	-2.02106
0.00000	-2.00288
0.00000	-2.00416
0.00000	-1.99306
0.00000	-2.01028
0.00000	-2.00465
0.00000	-2.00497
0.00000	-2.01318
0.00000	-2.01028
0.00000	-2.00609
0.00000	-2.01366
0.00000	-2.00835
0.00000	-1.99612
0.00000	-2.00706
0.00000	-2.00851
0.00000	-1.99933
0.00000	-2.00223
0.00000	-1.99966
0.00000	-1.99966
0.00000	-1.99821
0.00000	-2.01205
0.00000	-2.02638
0.00000	-2.02638
0.00000	-2.02831
0.00000	-1.99306
0.00000	-2.02348
0.00000	-2.00690
0.00000	-2.00529
0.00000	-1.98098
0.00000	-1.96489
0.00000	-1.96328
0.00000	-1.99434
0.00000	-2.00143
0.00000	-1.94767
0.00000	-1.94251
0.00000	-1.92883
0.00000	-1.99048
-0.01015	-1.94380
-0.01015	-1.96505
-0.01015	-1.96827
-0.01015	-1.91934
-0.01015	-1.89938
-0.01015	-1.92787
-0.01015	-1.93060
0.00000	-1.95056
0.00000	-1.90952
0.00000	-1.90968
0.00000	-1.93736
0.00000	-1.93012
0.00000	-1.92932
0.00000	-1.95877
0.00000	-1.96070
0.00000	-1.98131
0.00000	-1.99096
0.00000	-1.97954
0.00000	-1.94654
0.00000	-1.91869
0.00000	-1.92819
0.00000	-1.92256
0.00000	-1.93592
0.00000	-1.92803
0.00000	-1.94284
0.00000	-1.94895
0.00000	-1.95942
0.00000	-1.94300
0.00000	-1.93978
0.01015	-1.88505
0.02030	-1.87990
0.04061	-1.87169
0.13198	-1.87749
0.61929	-1.91547
1.03553	-1.88103
1.22843	-1.91016
1.75635	-1.86638
2.14213	-1.90887
2.28426	-1.86638
2.78173	-1.86879
2.98477	-1.90533
3.04569	-1.85157
3.30964	-1.85881
3.49239	-1.91064
3.69543	-1.86348
