Black Body Radiation Experiment Thu, Mar 21, 2024 10:15 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.06450
0.00000	0.01138
0.00000	0.01685
0.00000	0.02538
0.00000	0.03037
0.00000	0.04422
0.00000	0.05001
0.00000	0.06627
0.00000	0.06466
0.00000	0.05629
0.00000	0.06659
0.00000	0.00977
0.00000	0.02458
0.00000	0.01959
0.00000	-0.00858
0.00000	0.01782
0.00000	0.03086
0.00000	0.06321
0.00000	0.07770
0.00000	0.06916
0.00000	0.03858
0.00000	0.01991
0.00000	0.00752
0.00000	0.02265
0.00000	0.02410
0.00000	0.02313
0.00000	0.04116
0.00000	0.04663
0.00000	0.04615
0.01015	0.05452
0.01015	0.07947
0.02030	0.08848
0.02030	-0.00294
0.02030	0.08719
0.04061	0.04406
0.10152	0.02764
0.20305	0.00462
0.25381	0.08880
0.46701	0.02635
0.60914	0.06756
0.69036	0.01685
1.04569	0.02039
1.28934	0.09556
1.53299	0.03858
1.66497	0.04245
1.79695	0.05484
2.03046	0.06562
2.18274	0.08301
2.30457	0.03569
2.47716	0.08236
2.62944	0.04776
2.69036	0.07110
2.92386	0.05001
3.08629	0.04534
3.17766	0.09572
3.44162	0.04744
3.63452	0.06112
3.73604	0.02555
4.02030	0.03890
4.21320	0.06723
4.30457	0.03697
4.49746	0.10393
4.62944	0.09894
4.69036	0.05017
4.92386	0.04695
5.06599	0.05049
5.32995	0.07673
5.50254	0.07673
5.81726	0.11777
6.03046	0.11810
6.64975	0.05581
6.99492	0.07013
7.18782	0.06498
7.73604	0.04228
8.13198	0.11407
8.32487	0.05838
8.79188	0.07480
9.09645	0.11343
9.26904	0.05870
9.74619	0.10844
10.02030	0.07303
10.18274	0.11101
10.44670	0.06852
10.62944	0.07576
10.71066	0.07448
10.95431	0.10441
11.15736	0.10828
11.25888	0.06756
11.55330	0.07222
11.75635	0.04422
11.84772	0.09154
12.09137	0.04888
12.26396	0.08816
12.34518	0.08542
12.56853	0.11488
12.76142	0.11278
12.84264	0.06337
13.11675	0.04937
13.35025	0.04470
13.45178	0.12003
13.76650	0.09685
13.93909	0.12614
14.13198	0.08816
14.52792	0.07753
14.75127	0.12212
14.85279	0.05403
15.10660	0.06546
15.27919	0.09315
15.40102	0.08381
15.75635	0.10635
16.00000	0.06385
16.15228	0.11826
16.57868	0.12872
16.88325	0.06289
17.02538	0.12582
17.40102	0.13355
17.60406	0.09025
17.72589	0.12164
18.17259	0.16300
18.43655	0.12952
18.58883	0.17105
19.16751	0.19713
19.50254	0.22417
19.82741	0.24042
20.51777	0.36452
20.83249	0.42971
21.05584	0.52790
21.48223	0.67646
21.66497	0.69545
21.85787	0.71928
22.30457	0.76064
22.54822	0.77754
22.79188	0.74342
23.16751	0.58166
23.39086	0.54029
23.44162	0.51888
23.79695	0.44951
24.08122	0.41394
24.21320	0.35293
24.55838	0.25845
24.78173	0.24558
24.86294	0.25330
25.13706	0.23125
25.30964	0.17604
25.38071	0.18151
25.61421	0.13709
25.82741	0.15061
25.92893	0.12486
26.27411	0.14948
26.50761	0.10957
