Black Body Radiation Experiment Thu, Mar 21, 2024 10:38 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-1.28096
0.00000	-1.27533
0.00000	-1.34696
0.00000	-1.33086
0.00000	-1.30478
0.00000	-1.35613
0.01015	-1.32040
0.03046	-1.27485
0.04061	-1.28885
0.04061	-1.34454
0.04061	-1.30414
0.06091	-1.37158
0.20305	-1.36112
0.49746	-1.28853
0.84264	-1.35903
1.20812	-1.30977
1.48223	-1.35774
1.62437	-1.37915
1.94924	-1.36692
2.11168	-1.35404
2.27411	-1.33569
2.46701	-1.32072
2.58883	-1.32812
2.65990	-1.35146
2.88325	-1.28740
3.01523	-1.32748
3.10660	-1.34680
3.37056	-1.37448
3.55330	-1.35983
3.67513	-1.32989
4.04061	-1.32684
4.26396	-1.37464
4.43655	-1.35645
4.74112	-1.34148
4.95431	-1.34985
5.07614	-1.34213
5.43147	-1.31911
5.67513	-1.31396
5.82741	-1.37319
6.31472	-1.31171
6.67005	-1.33183
6.83249	-1.31509
7.36041	-1.35484
7.68528	-1.29432
7.90863	-1.36981
8.41624	-1.36659
8.70051	-1.32764
8.88325	-1.36997
9.36041	-1.36627
9.68528	-1.34921
9.89848	-1.35018
10.41624	-1.36547
10.70051	-1.30382
10.85279	-1.31847
11.14721	-1.30897
11.32995	-1.30350
11.45178	-1.31573
11.77665	-1.30559
11.98985	-1.32716
12.13198	-1.29529
12.51777	-1.33794
12.77157	-1.34647
12.90355	-1.27887
13.26904	-1.34776
13.47208	-1.35420
13.58376	-1.28080
13.82741	-1.31670
14.03046	-1.31396
14.10152	-1.34873
14.33503	-1.26760
14.45685	-1.26390
14.51777	-1.31863
14.74112	-1.29094
14.87310	-1.34776
14.93401	-1.26970
15.13706	-1.27919
15.29949	-1.29191
15.39086	-1.27388
15.67513	-1.29191
15.88832	-1.27420
16.00000	-1.30478
16.35533	-1.30897
16.58883	-1.26342
16.70051	-1.32024
17.03553	-1.33762
17.28934	-1.27581
17.42132	-1.33070
17.84772	-1.30527
18.10152	-1.22092
18.23350	-1.30285
18.83249	-1.24813
19.11675	-1.15670
19.26904	-1.19678
19.64467	-0.98801
19.80711	-0.95824
19.88832	-0.84734
