Black Body Radiation Experiment Thu, Mar 21, 2024 10:20 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.10725
0.00000	-0.08455
0.00000	-0.04447
0.00000	-0.04206
0.00000	-0.03932
0.00000	-0.09646
0.00000	-0.04946
0.00000	-0.07827
0.00000	-0.11964
0.00000	-0.12576
0.00000	-0.11175
0.00000	-0.05139
0.00000	-0.06749
0.00000	-0.04898
0.00000	-0.04093
0.00000	-0.01582
0.01015	-0.01872
0.01015	-0.03707
0.01015	-0.02403
0.04061	-0.09839
0.11168	-0.10081
0.26396	-0.02323
0.34518	-0.02644
0.39594	-0.09727
0.46701	-0.08455
0.51777	-0.06443
0.69036	-0.06395
0.77157	-0.05300
0.81218	-0.06475
0.97462	-0.05075
1.07614	-0.09566
1.14721	-0.00294
1.29949	-0.08053
1.47208	-0.05155
1.65482	-0.02274
1.94924	-0.02564
2.12183	-0.00536
2.24365	-0.03948
2.49746	-0.07505
2.71066	-0.06910
2.81218	0.01814
3.14721	-0.02934
3.45178	0.03166
3.74619	-0.03401
4.49746	0.03311
4.86294	-0.06314
5.08629	-0.03208
5.51269	0.01557
5.80711	-0.00439
5.95939	-0.01518
6.41624	-0.03594
6.78173	0.03762
6.96447	-0.05171
7.87817	-0.04125
8.31472	0.03134
8.52792	-0.02129
9.08629	0.00044
9.42132	0.00317
9.59391	0.04212
10.08122	0.00768
10.42640	-0.00697
10.79188	0.04615
11.23858	0.00977
11.54315	0.05484
11.84772	-0.00552
12.40609	-0.01389
12.76142	0.04727
12.91371	-0.03642
13.40102	-0.01502
13.75635	-0.00890
14.28426	-0.00423
14.63959	0.05500
15.20812	0.07303
15.61421	0.02200
15.98985	-0.02290
16.80203	0.04905
17.26904	0.00140
17.56345	0.07061
18.41624	0.06691
19.01523	0.00864
19.30964	0.09106
20.17259	0.11230
20.69036	0.13773
21.17766	0.27278
21.93909	0.41168
22.40609	0.37595
22.85279	0.37338
23.65482	0.35277
24.09137	0.32042
24.29442	0.21113
24.92386	0.20179
25.32995	0.14868
25.54315	0.14127
26.14213	0.05291
26.55838	0.06337
26.75127	0.08188
27.34010	0.09605
27.75635	0.08462
27.96954	0.03134
28.57868	-0.00117
28.99492	0.01557
29.63452	-0.02306
30.09137	0.03585
30.83249	0.01460
31.34010	0.05870
32.21320	0.03520
32.75127	0.04663
33.72589	0.03472
34.31472	-0.02483
34.60914	0.03585
35.58376	0.03263
36.20305	-0.02982
37.26904	-0.03996
37.98985	0.02217
38.37563	-0.03514
39.03553	0.03649
40.03046	-0.00021
40.60914	-0.04270
40.96447	-0.03868
41.61421	0.01830
42.04061	0.02844
42.24365	-0.05719
42.86294	0.01943
43.28934	0.00720
43.49239	-0.01904
44.08122	-0.01920
44.48731	-0.03755
44.69036	0.02522
45.31980	-0.03868
45.72589	-0.00021
46.40609	-0.03095
46.82234	-0.03803
47.49239	0.02619
47.91878	0.01299
48.55838	0.03375
49.03553	0.04357
49.24873	-0.02290
49.94924	0.01154
50.42640	-0.01357
50.67005	0.03681
51.37056	-0.02403
51.82741	0.01074
52.49746	-0.02274
52.93401	-0.01003
53.63452	-0.02194
54.07107	0.00349
54.74112	-0.01647
55.16751	0.01347
55.42132	0.01766
56.06091	0.06128
56.44670	0.04679
57.10660	0.07480
57.49239	0.05516
58.08122	0.08091
58.47716	0.06418
59.12690	0.07335
59.48223	0.03086
60.07107	0.03585
60.46701	0.00221
60.68020	0.06321
61.37056	0.06949
61.87817	0.06884
62.62944	0.07625
63.11675	0.01766
63.37056	0.06852
64.05076	0.05967
64.47716	0.04840
64.74112	0.05178
65.42132	0.04631
65.90863	0.05822
66.15228	0.02699
66.85279	0.04019
67.29949	0.03971
67.52284	0.02587
68.18274	0.02506
68.60914	0.05548
68.84264	0.01009
69.47208	0.01009
69.92893	0.03697
70.16244	0.00752
70.84264	-0.00536
71.30964	0.03440
71.57360	-0.00407
72.31472	-0.01244
72.81218	0.02458
73.08629	-0.00182
73.80711	0.01299
74.25381	0.00720
74.53807	0.01219
75.25888	0.02458
75.78680	-0.03192
76.10152	0.01251
76.87310	0.01202
77.38071	-0.03562
77.67513	-0.00810
78.41624	0.03810
78.87310	0.05259
79.12690	0.04148
79.78680	0.07818
80.19289	0.15544
80.85279	0.10908
81.27919	0.11134
81.48223	0.03504
82.01015	0.00720
82.35533	0.00253
82.52792	0.01927
83.03553	0.04599
83.36041	0.01138
83.51269	0.02490
84.01015	-0.02999
84.36548	0.00687
84.98477	-0.02306
85.42132	-0.01244
85.66497	-0.05622
86.32487	-0.08648
86.72081	-0.05043
86.93401	-0.08342
87.55330	-0.08149
87.98985	-0.08648
88.23350	-0.05139
88.92386	-0.03401
89.43147	-0.06717
89.72589	-0.02355
90.55838	-0.03433
