Black Body Radiation Experiment Thu, Mar 21, 2024 11:16 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.01042
0.00000	0.01235
0.00000	0.01235
0.00000	0.01380
0.00000	0.01235
0.00000	0.00510
0.00000	0.00848
0.00000	0.01009
0.00000	0.01122
0.00000	0.01138
0.01015	0.00832
0.01015	0.00832
0.09137	0.01025
0.14213	0.01042
0.47716	0.00736
0.74112	0.00977
0.85279	0.01025
1.28934	0.01380
1.56345	0.01235
1.68528	0.01090
2.08122	0.01476
2.41624	0.00961
2.56853	0.00687
2.97462	0.00913
3.20812	0.01058
3.30964	0.01235
3.64467	0.01347
3.84772	0.00848
3.94924	0.01009
4.32487	0.00993
4.55838	0.00736
4.69036	0.01202
4.90355	0.01396
5.01523	0.01106
5.09645	0.01025
5.29949	0.01315
5.46193	0.01058
5.55330	0.01058
5.85787	0.00913
6.05076	0.01235
6.18274	0.01363
6.64975	0.01170
6.92386	0.01283
7.10660	0.01219
7.54315	0.01315
7.79695	0.00913
7.97970	0.01009
8.47716	0.01106
8.74112	0.01299
8.93401	0.00993
9.47208	0.00961
9.82741	0.00864
10.02030	0.01380
10.49746	0.00977
10.70051	0.01170
10.81218	0.00945
11.09645	0.00848
11.32995	0.00575
11.46193	0.01315
11.87817	0.01412
12.18274	0.01154
12.33503	0.01090
12.80203	0.01219
13.09645	0.01025
13.23858	0.00913
13.61421	0.01219
13.86802	0.01186
14.03046	0.00929
14.40609	0.01090
14.69036	0.01299
14.84264	0.01508
15.21827	0.01396
15.38071	0.01476
15.52284	0.01428
15.75635	0.01315
15.91878	0.00897
16.24365	0.01251
16.45685	0.01042
16.59898	0.01025
16.96447	0.01202
17.18782	0.01492
17.32995	0.00607
17.68528	0.01331
17.91878	0.01557
18.06091	0.01508
18.57868	0.01557
18.84264	0.01959
18.99492	0.01814
19.61421	0.02538
19.94924	0.03778
20.15228	0.04534
20.61929	0.07882
20.87310	0.10103
21.05584	0.12518
21.36041	0.16477
21.59391	0.19326
21.82741	0.21226
22.23350	0.24686
22.44670	0.25443
22.69036	0.26135
23.07614	0.25266
23.26904	0.23560
23.49239	0.21982
23.84772	0.18618
24.09137	0.16236
24.22335	0.15415
24.58883	0.11810
24.82234	0.09637
24.93401	0.08816
25.34010	0.06707
25.62437	0.05436
25.76650	0.04760
26.15228	0.03552
26.41624	0.03295
26.53807	0.03053
26.90355	0.02538
27.14721	0.02007
27.25888	0.02313
27.65482	0.02249
27.96954	0.01685
28.11168	0.01524
28.55838	0.01685
28.89340	0.00881
29.03553	0.01235
29.55330	0.01589
29.87817	0.01363
30.02030	0.01202
30.42640	0.01106
30.70051	0.01235
30.83249	0.01122
31.23858	0.01363
31.53299	0.01428
31.72589	0.01283
32.22335	0.01138
32.57868	0.01299
32.76142	0.01315
33.26904	0.01154
33.64467	0.01412
33.84772	0.01444
34.42640	0.01347
34.77157	0.01557
34.96447	0.01058
35.49239	0.01074
35.78680	0.01202
35.91878	0.00800
36.34518	0.01331
36.61929	0.01235
36.75127	0.00800
37.15736	0.01042
37.42132	0.01202
37.58376	0.01138
38.07107	0.01299
38.41624	0.00913
38.61929	0.01412
39.19797	0.00897
39.56345	0.00977
39.75635	0.01186
40.13198	0.01396
40.40609	0.01186
40.52792	0.01058
40.82234	0.00897
41.09645	0.01331
41.20812	0.01363
41.59391	0.01476
41.90863	0.01106
42.05076	0.01331
42.42640	0.01331
42.73096	0.01154
42.84264	0.01396
43.26904	0.01492
43.58376	0.01557
43.72589	0.00993
44.10152	0.01267
44.34518	0.01106
44.45685	0.01186
44.88325	0.01444
45.15736	0.01025
45.26904	0.01219
45.64467	0.01460
45.85787	0.01540
45.95939	0.01170
46.28426	0.00977
46.57868	0.01122
46.73096	0.01299
47.19797	0.00784
47.52284	0.01058
47.64467	0.01074
48.06091	0.01202
48.33503	0.01074
48.45685	0.01428
48.74112	0.01235
48.98477	0.00848
49.08629	0.00687
49.32995	0.00607
49.50254	0.01347
49.58376	0.00913
49.86802	0.01090
50.04061	0.01299
50.14213	0.01090
50.42640	0.01315
50.60914	0.00993
50.70051	0.01460
50.98477	0.01267
51.20812	0.01380
51.31980	0.01460
51.63452	0.01492
51.83756	0.01283
51.92893	0.01315
52.27411	0.01074
52.52792	0.00575
52.67005	0.01170
53.02538	0.00993
53.24873	0.01589
53.39086	0.00720
53.86802	0.01283
54.16244	0.01251
54.29442	0.01251
54.72081	0.00977
54.93401	0.00864
55.07614	0.01251
55.56345	0.01202
55.84772	0.01138
55.98985	0.01412
56.35533	0.00784
56.59898	0.01283
56.73096	0.01540
57.11675	0.01283
57.39086	0.01621
57.53299	0.01428
57.92893	0.01025
58.20305	0.01251
58.33503	0.01090
58.76142	0.01202
59.08629	0.01009
59.22843	0.01154
59.65482	0.01251
59.91878	0.01235
60.05076	0.01219
60.51777	0.01428
60.82234	0.01154
61.01523	0.01428
61.45178	0.01202
61.73604	0.01267
61.85787	0.01025
62.21320	0.01122
62.40609	0.01170
62.51777	0.01299
62.79188	0.01492
62.98477	0.01090
63.09645	0.01460
63.45178	0.01251
63.73604	0.01347
63.86802	0.01170
64.29442	0.01315
64.54822	0.01009
64.71066	0.01074
65.11675	0.01186
65.37056	0.01396
65.49239	0.01347
65.84772	0.01637
66.07107	0.01090
66.20305	0.01283
66.54822	0.00993
66.77157	0.01009
66.88325	0.01363
67.25888	0.01074
67.50254	0.00993
67.65482	0.01347
68.09137	0.00993
68.37563	0.01106
68.52792	0.00414
68.95431	0.01090
69.27919	0.01202
69.43147	0.01058
69.91878	0.01138
70.23350	0.01058
70.40609	0.01283
70.78173	0.01186
71.05584	0.01025
71.18782	0.01299
71.58376	0.01106
71.82741	0.01444
71.95939	0.00977
72.26396	0.01299
72.44670	0.01315
72.54822	0.01267
72.83249	0.01267
73.00508	0.01154
73.09645	0.01186
73.35025	0.01380
73.51269	0.01476
73.60406	0.00977
73.85787	0.01186
74.04061	0.01380
74.15228	0.00687
74.45685	0.01138
74.68020	0.01235
74.80203	0.01106
75.16751	0.01315
75.37056	0.01573
75.51269	0.00897
75.82741	0.01202
76.03046	0.01524
76.15228	0.01009
76.48731	0.00929
76.70051	0.00913
76.84264	0.01058
77.19797	0.00848
77.47208	0.01283
77.62437	0.01074
78.05076	0.01766
78.31472	0.01846
78.47716	0.01718
78.91371	0.02039
79.15736	0.02844
79.30964	0.03070
79.62437	0.02780
79.84772	0.02909
79.96954	0.02683
80.33503	0.02120
80.55838	0.02104
80.64975	0.01750
80.96447	0.01766
81.18782	0.01492
81.30964	0.01814
81.63452	0.01701
81.85787	0.01299
82.00000	0.01235
82.35533	0.01267
82.59898	0.01347
82.74112	0.01235
83.09645	0.01363
83.35025	0.01347
83.52284	0.01009
83.92893	0.01460
84.23350	0.00913
84.36548	0.00897
84.73096	0.00929
85.01523	0.01186
85.13706	0.01235
85.58376	0.00913
85.83756	0.01138
85.97970	0.01315
86.38579	0.01235
86.67005	0.01315
86.82234	0.00945
87.21827	0.01106
87.50254	0.00913
87.65482	0.01122
88.04061	0.01202
88.32487	0.01283
88.46701	0.00945
88.92386	0.01508
89.22843	0.01412
89.38071	0.01283
89.76650	0.01380
90.01015	0.01074
