Black Body Radiation Experiment Thu, Mar 21, 2024 10:17 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.49242
0.00000	-0.55004
0.00000	-0.54151
0.00000	-0.50723
0.00000	-0.48357
0.00000	-0.53105
0.00000	-0.56823
0.00000	-0.49306
0.00000	-0.53411
0.00000	-0.49033
0.00000	-0.49129
0.00000	-0.48341
0.01015	-0.49838
0.01015	-0.52075
0.01015	-0.54827
0.01015	-0.46441
0.01015	-0.53604
0.01015	-0.54715
0.01015	-0.49548
0.01015	-0.51077
0.01015	-0.54521
0.01015	-0.54183
0.01015	-0.53813
0.01015	-0.53363
0.02030	-0.54747
0.07107	-0.54296
0.18274	-0.53105
0.26396	-0.46071
0.58883	-0.45926
0.72081	-0.44188
0.82234	-0.45202
1.12690	-0.51576
1.34010	-0.45991
1.45178	-0.52493
1.71574	-0.49644
1.89848	-0.51673
1.96954	-0.43898
2.26396	-0.46908
2.48731	-0.49612
2.74112	-0.41500
3.19797	-0.46602
3.54315	-0.42594
3.91878	-0.49194
4.53807	-0.46651
5.05584	-0.46474
5.32995	-0.42611
5.85787	-0.41629
6.21320	-0.43464
6.37563	-0.43786
7.01523	-0.41774
7.47208	-0.45395
7.68528	-0.40711
8.44670	-0.42095
8.97462	-0.45975
9.47208	-0.39713
10.28426	-0.45025
10.79188	-0.44655
11.34010	-0.43866
11.96954	-0.39697
12.42640	-0.43689
12.58883	-0.44301
13.25888	-0.49323
13.83756	-0.46554
14.06091	-0.42546
14.83249	-0.41468
15.29949	-0.48099
15.53299	-0.39601
16.16244	-0.40534
16.59898	-0.42160
16.77157	-0.41033
17.28934	-0.41146
17.63452	-0.42771
17.81726	-0.39359
18.46701	-0.38442
18.91371	-0.39745
19.39086	-0.39826
20.36548	-0.26450
20.96447	-0.15875
21.23858	-0.05461
21.95939	0.01299
22.36548	0.03150
22.82234	-0.00133
23.63452	-0.08906
24.14213	-0.13702
24.36548	-0.16519
25.13706	-0.22668
25.72589	-0.26788
25.97970	-0.34804
26.94416	-0.33500
27.54315	-0.41081
27.89848	-0.36494
28.77157	-0.44977
29.34010	-0.43303
29.61421	-0.42353
30.47716	-0.39584
31.01523	-0.45057
31.24873	-0.38764
32.05076	-0.41323
32.56853	-0.39923
32.87310	-0.45089
33.75635	-0.47616
34.32487	-0.45186
34.55838	-0.47729
35.49239	-0.48469
36.11168	-0.47874
36.50761	-0.46184
37.71574	-0.48614
38.52792	-0.45604
38.91371	-0.48727
40.00000	-0.47391
40.76142	-0.42707
41.18782	-0.45105
42.05076	-0.48276
42.62944	-0.47858
42.90355	-0.41130
43.76650	-0.45299
44.36548	-0.43126
44.67005	-0.45266
45.42132	-0.40631
45.95939	-0.41210
46.19289	-0.45669
46.90355	-0.43029
47.42132	-0.42788
47.68528	-0.41983
48.55838	-0.45958
49.09645	-0.44961
49.32995	-0.39617
50.03046	-0.40743
50.54822	-0.38168
50.74112	-0.44027
51.43147	-0.42240
51.87817	-0.43834
52.06091	-0.37090
52.63959	-0.37476
53.05584	-0.36237
53.23858	-0.42224
53.91878	-0.41580
54.38579	-0.40196
54.64975	-0.36896
55.40102	-0.35947
56.02030	-0.37959
56.30457	-0.34498
57.29949	-0.36929
58.00000	-0.34949
58.33503	-0.39745
59.27919	-0.41081
59.95939	-0.39923
60.24365	-0.39906
61.10660	-0.38168
61.71574	-0.42240
61.98985	-0.39520
62.88325	-0.36655
63.45178	-0.42578
63.72589	-0.37862
64.47716	-0.37202
64.93401	-0.42949
65.15736	-0.36880
65.72589	-0.37669
66.10152	-0.44574
66.29442	-0.39327
66.85279	-0.39214
67.21827	-0.43979
67.42132	-0.38941
68.01015	-0.40969
68.42640	-0.44993
68.62944	-0.41580
69.30964	-0.41790
69.72589	-0.44574
69.95939	-0.43448
70.63959	-0.45620
71.13706	-0.43769
71.36041	-0.47053
72.12183	-0.47262
72.55838	-0.43077
72.78173	-0.44912
73.48223	-0.45234
73.94924	-0.42900
74.19289	-0.43158
74.92386	-0.45234
75.41117	-0.50111
75.65482	-0.47439
76.38579	-0.47391
76.85279	-0.42659
77.12690	-0.45975
77.87817	-0.39263
78.33503	-0.40743
78.59898	-0.34176
79.29949	-0.33758
79.77665	-0.30201
80.07107	-0.31231
80.71066	-0.36076
81.14721	-0.37138
81.36041	-0.41629
81.97970	-0.43753
82.43655	-0.43013
82.64975	-0.45138
83.31980	-0.47987
83.76650	-0.46828
84.01015	-0.49242
84.68020	-0.51174
85.12690	-0.50691
85.32995	-0.53685
85.97970	-0.53588
86.44670	-0.52316
86.68020	-0.55857
87.31980	-0.56823
87.77665	-0.52896
88.04061	-0.57708
88.73096	-0.57612
89.17766	-0.52703
89.44162	-0.57467
90.07107	-0.56405
