Motion Through Fluids Experiment Thu, Feb 15, 2024 10:51 AM
Time(sec)	Position(mm)
0.017	1.927
0.067	1.927
0.117	1.927
0.167	34.841
0.217	1.711
0.267	36.926
0.317	38.176
0.367	39.216
0.417	40.255
0.467	41.293
0.517	42.330
0.567	43.366
0.617	44.401
0.667	45.435
0.717	46.262
0.767	47.294
0.817	48.326
0.867	49.356
0.917	50.386
0.967	51.415
1.017	52.238
1.067	53.265
1.117	54.292
1.167	55.318
1.217	56.138
1.267	57.162
1.317	58.186
1.367	59.005
1.417	60.026
1.467	61.048
1.517	61.864
1.567	62.884
1.617	63.903
1.667	64.718
1.717	65.736
1.767	66.753
1.817	67.566
1.867	68.582
1.917	69.597
1.967	70.409
2.017	71.423
2.067	72.436
2.117	73.246
2.167	73.853
2.217	74.865
2.267	75.674
2.317	76.684
2.367	77.694
2.417	78.502
2.467	79.510
2.517	80.317
2.567	81.324
2.617	82.331
2.667	83.137
2.717	84.142
2.767	85.148
2.817	85.952
2.867	86.956
2.917	87.759
2.967	88.763
3.017	89.765
3.067	90.567
3.117	91.569
3.167	92.370
3.217	93.371
3.267	94.372
3.317	95.172
3.367	96.172
3.417	96.971
3.467	97.970
3.517	98.968
3.567	99.766
3.617	100.764
3.667	101.561
3.717	102.558
3.767	103.355
3.817	104.351
3.867	105.346
3.917	106.142
3.967	107.137
4.017	107.933
4.067	108.927
4.117	109.920
4.167	110.715
4.217	111.709
4.267	112.502
4.317	113.494
4.367	114.289
4.417	115.280
4.467	116.272
4.517	117.064
4.567	118.055
4.617	118.848
4.667	119.837
4.717	120.828
4.767	121.619
4.817	122.608
4.867	123.399
4.917	124.388
4.967	125.179
5.017	126.168
5.067	127.156
5.117	127.946
5.167	128.934
5.217	129.723
5.267	130.711
5.317	131.501
5.367	132.486
5.417	133.079
5.467	134.066
5.517	134.854
5.567	135.840
5.617	136.629
5.667	137.615
5.717	138.404
5.767	139.388
5.817	140.374
5.867	141.162
5.917	142.147
5.967	142.934
6.017	143.919
6.067	144.706
6.117	145.691
6.167	146.675
6.217	147.462
6.267	148.446
6.317	149.232
6.367	150.217
6.417	151.003
6.467	151.988
6.517	152.773
6.567	153.757
6.617	154.741
6.667	155.528
6.717	156.511
6.767	157.297
6.817	158.280
6.867	159.067
6.917	160.050
6.967	160.835
7.017	161.819
7.067	162.604
7.117	163.587
7.167	164.571
7.217	165.356
7.267	166.340
7.317	167.126
7.367	168.109
7.417	168.895
7.467	169.878
7.517	170.665
7.567	171.647
7.617	172.433
7.667	173.417
7.717	174.202
7.767	175.186
7.817	176.169
7.867	176.955
7.917	177.939
7.967	178.724
8.017	179.708
8.067	180.494
8.117	181.479
8.167	182.266
8.217	183.250
8.267	184.037
8.317	185.021
8.367	185.808
8.417	186.792
8.467	187.579
8.517	188.563
8.567	189.351
8.617	190.336
8.667	191.123
8.717	192.108
8.767	192.699
8.817	193.486
8.867	194.473
8.917	195.260
8.967	196.247
9.017	197.034
9.067	198.021
9.117	198.809
9.167	199.796
9.217	200.584
9.267	201.572
9.317	202.361
9.367	203.349
9.417	204.138
9.467	205.126
9.517	205.915
9.567	206.905
9.617	207.694
9.667	208.485
9.717	209.473
9.767	210.265
9.817	211.254
9.867	212.045
9.917	213.035
9.967	213.827
10.017	214.818
10.067	215.610
10.117	216.601
10.168	217.394
10.217	218.386
10.267	219.179
10.317	219.972
10.367	220.965
10.417	221.759
10.467	222.752
10.517	223.546
10.567	224.540
10.617	225.335
10.667	226.331
10.717	227.126
10.767	227.922
10.817	228.917
10.867	229.714
10.917	230.710
10.967	231.507
11.017	232.305
11.067	233.302
11.117	234.100
11.167	235.098
11.217	235.897
11.267	236.896
11.317	237.695
11.367	238.495
11.417	239.495
11.467	240.296
11.517	241.297
11.567	242.098
11.617	243.100
11.667	243.902
11.717	244.704
11.768	245.708
11.817	246.511
11.867	247.314
11.917	248.319
11.967	249.123
12.017	249.726
12.067	250.530
12.117	251.538
12.167	252.343
12.217	253.350
12.267	254.156
12.317	254.963
12.367	255.973
12.417	256.780
12.467	257.589
12.517	258.599
12.567	259.408
12.617	260.219
12.667	261.230
12.717	262.040
12.767	262.851
12.817	263.865
12.867	264.677
12.917	265.489
12.967	266.507
13.017	267.319
13.067	268.132
13.117	269.150
13.167	269.965
13.217	270.780
13.267	271.800
13.317	272.618
13.367	273.433
13.417	274.250
13.467	275.272
13.517	276.091
13.567	276.910
13.617	277.729
13.667	278.754
13.717	279.575
13.767	280.396
13.817	281.217
13.867	282.039
13.917	282.862
13.967	283.685
14.017	284.715
14.067	285.538
14.117	286.364
14.167	286.984
14.217	287.810
