Motion Through Fluids Experiment Thu, Feb 15, 2024 10:31 AM
Time(sec)	Position(mm)
0.022	5.552
0.133	4.905
0.244	4.474
0.355	4.043
0.466	3.610
0.577	3.394
0.688	3.180
0.799	2.746
0.910	2.746
1.021	2.532
1.132	2.530
1.243	2.314
1.354	18.375
1.465	18.799
1.576	19.223
1.687	19.647
1.798	20.071
1.909	20.495
2.020	20.918
2.131	21.341
2.242	21.764
2.353	22.187
2.464	22.609
2.575	23.032
2.686	23.454
2.797	23.876
2.908	24.298
3.019	24.509
3.130	24.930
3.241	25.352
3.352	25.773
3.463	26.194
3.574	26.404
3.685	26.825
3.796	27.246
3.907	27.666
4.018	27.876
4.130	28.296
4.240	28.716
4.351	28.926
4.462	29.346
4.573	29.765
4.684	30.185
4.795	30.394
4.906	30.813
5.017	31.232
5.128	31.442
5.239	31.860
5.350	32.070
5.461	32.488
5.572	32.906
5.683	33.115
5.794	33.533
5.905	33.951
6.016	34.160
6.127	34.578
6.238	34.786
6.349	35.204
6.460	35.621
6.571	35.829
6.682	36.246
6.793	36.455
6.904	36.871
7.015	37.288
7.126	37.496
7.237	37.912
7.348	38.120
7.459	38.537
7.570	38.952
7.681	39.160
7.792	39.576
7.903	39.784
8.014	40.199
8.125	40.614
8.236	40.822
8.347	41.237
8.458	41.444
8.569	41.859
8.680	42.067
8.791	42.481
8.902	42.896
9.013	43.103
9.124	43.517
9.235	43.724
9.346	44.138
9.457	44.552
9.568	44.759
9.679	45.172
9.790	45.586
9.901	45.794
10.012	46.206
10.123	46.412
10.234	46.825
10.345	47.239
10.456	47.446
10.567	47.857
10.678	48.065
10.789	48.476
10.900	48.888
11.011	49.094
11.122	49.508
11.233	49.714
11.344	50.125
11.455	50.331
11.566	50.743
11.677	51.154
11.788	51.360
11.899	51.772
12.010	51.977
12.121	52.388
12.232	52.594
12.343	53.005
12.454	53.415
12.565	53.621
12.676	54.031
12.787	54.237
12.898	54.647
13.009	55.057
13.120	55.262
13.231	55.672
13.342	55.877
13.453	56.287
13.564	56.697
13.675	56.902
13.786	57.311
13.897	57.516
14.008	57.925
14.119	58.335
14.230	58.539
14.341	58.948
14.452	59.153
14.563	59.561
14.674	59.766
14.785	60.174
14.896	60.583
15.007	60.787
15.118	61.196
15.229	61.400
15.340	61.808
15.451	62.216
15.562	62.420
15.673	62.828
15.784	63.032
15.895	63.439
16.007	63.847
16.117	64.050
16.228	64.458
16.339	64.661
16.450	65.069
16.561	65.476
16.672	65.679
16.783	66.086
16.894	66.290
17.005	66.696
17.116	67.103
17.227	67.306
17.338	67.713
17.449	67.916
17.560	68.322
17.671	68.525
17.782	68.931
17.893	69.134
18.004	69.540
18.115	69.946
18.226	70.149
18.337	70.555
18.448	70.757
18.559	71.163
18.670	71.568
18.781	71.771
18.892	72.176
19.003	72.379
19.114	72.784
19.225	72.986
19.336	73.391
19.447	73.796
19.558	73.998
19.669	74.403
19.780	74.605
19.891	75.010
20.002	75.414
20.113	75.616
20.224	76.021
20.335	76.223
20.446	76.627
20.557	76.829
20.670	77.233
20.779	77.637
20.890	77.838
21.001	78.242
21.112	78.444
21.223	78.847
21.334	79.251
21.445	79.453
21.556	79.856
21.670	80.259
21.778	80.461
21.889	80.864
22.000	81.065
22.111	81.468
22.222	81.669
22.333	82.072
22.444	82.475
22.555	82.676
22.666	83.079
22.777	83.280
22.888	83.682
22.999	84.085
23.110	84.286
23.221	84.688
23.332	84.889
23.443	85.291
23.554	85.492
23.665	85.894
23.776	86.296
23.887	86.496
23.998	86.898
24.109	87.099
24.220	87.500
24.331	87.902
24.442	88.103
24.553	88.504
24.664	88.705
24.775	89.106
24.886	89.507
24.997	89.707
25.108	90.108
25.219	90.309
25.330	90.710
25.441	91.110
25.552	91.311
25.663	91.711
25.774	91.912
25.885	92.312
25.996	92.713
26.107	92.913
26.218	93.313
26.329	93.513
26.440	93.914
26.551	94.114
26.662	94.514
26.773	94.914
26.884	95.114
26.995	95.515
27.106	95.713
27.217	96.113
27.328	96.514
27.439	96.713
27.550	97.114
27.661	97.312
27.772	97.713
27.883	98.112
27.994	98.311
28.105	98.710
28.216	98.910
28.327	99.310
28.438	99.709
28.549	99.909
28.660	100.306
28.771	100.506
28.882	100.906
28.993	101.305
29.104	101.504
29.215	101.903
29.326	102.102
29.437	102.501
29.548	102.699
29.659	103.097
29.770	103.497
29.881	103.696
29.992	104.094
30.103	104.292
30.214	104.692
30.325	105.090
30.436	105.288
30.547	105.687
30.658	105.886
30.769	106.284
30.880	106.483
30.991	106.880
31.102	107.279
31.213	107.478
31.324	107.875
31.435	108.273
31.546	108.472
31.657	108.869
31.768	109.068
31.879	109.466
31.990	109.863
32.101	110.062
32.212	110.459
32.323	110.658
32.434	111.055
32.545	111.452
32.656	111.650
32.767	112.048
32.878	112.246
32.989	112.643
33.100	113.040
33.211	113.237
33.322	113.635
33.433	113.834
33.544	114.230
33.655	114.429
33.766	114.826
33.877	115.222
33.988	115.420
34.099	115.817
34.210	116.015
34.321	116.412
34.432	116.808
34.543	117.006
34.654	117.403
34.765	117.601
34.876	117.997
34.987	118.393
35.098	118.591
35.209	118.987
35.320	119.185
35.431	119.581
35.542	119.977
35.653	120.175
35.764	120.571
35.875	120.967
35.986	121.165
36.097	121.561
36.208	121.759
36.319	122.155
36.430	122.550
36.541	122.748
36.652	123.144
36.763	123.342
36.874	123.737
36.985	124.133
37.096	124.330
37.207	124.726
37.318	124.924
37.429	125.319
37.540	125.517
37.651	125.912
37.762	126.307
37.873	126.505
37.984	126.899
38.095	127.098
38.206	127.493
38.317	127.888
38.428	128.085
38.539	128.479
38.650	128.678
38.761	129.073
38.872	129.468
38.983	129.665
39.094	130.059
39.205	130.258
39.316	130.652
39.427	131.047
39.538	131.245
39.649	131.638
39.760	132.034
39.871	132.231
39.982	132.626
40.093	132.823
40.204	133.218
40.315	133.612
40.426	133.810
40.537	134.204
40.648	134.401
40.759	134.796
40.870	135.190
40.981	135.388
41.092	135.782
41.203	135.979
41.314	136.373
41.425	136.768
41.536	136.965
41.647	137.359
41.758	137.753
41.869	137.950
41.980	138.345
42.091	138.542
42.202	138.936
42.313	139.133
42.424	139.527
42.535	139.921
42.646	140.118
42.757	140.512
42.868	140.709
42.979	141.103
43.090	141.497
43.201	141.694
43.312	142.087
43.423	142.285
43.534	142.679
43.645	143.073
43.756	143.269
43.867	143.663
43.978	143.860
44.089	144.254
44.200	144.648
44.311	144.845
44.422	145.238
44.533	145.435
44.644	145.829
44.755	146.222
44.866	146.419
44.977	146.813
45.088	147.207
45.199	147.403
45.310	147.797
45.421	148.191
45.532	148.387
45.643	148.781
45.754	148.978
45.865	149.371
45.976	149.765
46.087	149.961
46.198	150.355
46.309	150.552
46.420	150.945
46.531	151.338
46.642	151.535
46.753	151.929
46.864	152.125
46.975	152.519
47.086	152.912
47.197	153.109
47.308	153.502
47.419	153.699
47.530	154.092
47.641	154.485
47.752	154.682
47.863	155.075
47.974	155.272
48.085	155.665
48.196	156.058
48.307	156.255
48.418	156.648
48.529	156.845
48.640	157.238
48.751	157.631
48.862	157.828
48.973	158.221
49.084	158.418
49.195	158.811
49.306	159.204
49.417	159.401
49.528	159.794
49.639	159.991
49.750	160.384
49.861	160.777
49.972	160.974
50.083	161.367
50.194	161.563
50.305	161.956
50.416	162.350
50.527	162.546
50.638	162.939
50.749	163.332
50.860	163.529
50.971	163.922
51.082	164.119
51.193	164.512
51.304	164.905
51.415	165.102
51.526	165.495
51.637	165.888
51.748	166.084
51.859	166.477
51.970	166.674
52.081	167.067
52.192	167.460
52.303	167.657
52.414	168.050
52.525	168.247
52.636	168.640
52.747	168.836
52.858	169.229
52.969	169.622
53.080	169.819
53.191	170.212
53.302	170.409
53.413	170.802
53.524	171.195
53.635	171.392
53.746	171.785
53.857	172.178
53.968	172.374
54.079	172.768
54.190	172.964
54.301	173.357
54.412	173.751
54.523	173.947
54.634	174.340
54.745	174.537
54.856	174.930
54.967	175.127
55.078	175.520
55.189	175.913
55.300	176.110
55.411	176.503
55.522	176.700
55.633	177.093
55.744	177.486
55.855	177.683
55.966	178.076
56.077	178.470
56.188	178.666
56.299	179.060
56.410	179.256
56.521	179.650
56.632	180.043
56.743	180.240
56.854	180.633
56.965	181.026
57.076	181.223
57.187	181.616
57.298	181.813
57.409	182.207
57.520	182.600
57.631	182.797
57.742	183.190
57.853	183.387
57.964	183.780
58.075	184.174
58.186	184.371
58.297	184.764
58.408	184.961
58.519	185.355
58.630	185.551
58.741	185.945
58.852	186.339
58.963	186.536
59.074	186.929
59.185	187.126
59.296	187.520
59.407	187.913
59.519	188.110
59.629	188.504
59.740	188.701
59.851	189.095
59.962	189.488
60.073	189.685
60.184	190.079
60.295	190.276
60.406	190.670
60.517	191.064
60.628	191.261
60.739	191.655
60.850	192.049
60.961	192.246
61.072	192.640
61.183	192.837
61.294	193.232
61.405	193.625
61.516	193.822
61.627	194.216
61.738	194.413
61.849	194.808
61.960	195.201
62.071	195.398
62.182	195.793
62.293	195.990
62.404	196.384
62.515	196.581
62.626	196.976
62.737	197.370
62.848	197.567
62.959	197.962
63.070	198.159
63.181	198.554
63.292	198.948
63.403	199.145
63.514	199.539
63.625	199.737
63.736	200.132
63.847	200.329
63.958	200.724
64.069	201.118
64.180	201.315
64.291	201.710
64.402	202.105
64.513	202.303
64.624	202.698
64.735	202.894
64.846	203.289
64.957	203.684
65.068	203.883
65.179	204.277
65.290	204.474
65.401	204.869
65.512	205.067
65.623	205.462
65.734	205.857
65.845	206.054
65.956	206.451
66.067	206.647
66.178	207.044
66.289	207.438
66.400	207.635
66.511	208.032
66.622	208.228
66.733	208.625
66.844	208.822
66.955	209.218
67.066	209.613
67.177	209.811
67.288	210.207
67.399	210.404
67.510	210.801
67.621	211.196
67.732	211.394
67.843	211.789
67.954	212.185
68.065	212.384
68.176	212.780
68.287	212.976
68.398	213.374
68.509	213.570
68.620	213.968
68.731	214.363
68.842	214.562
68.953	214.958
69.064	215.155
69.175	215.552
69.286	215.749
69.397	216.147
69.508	216.543
69.619	216.741
69.730	217.138
69.841	217.335
69.952	217.733
70.063	218.129
70.174	218.327
70.285	218.723
70.396	218.922
70.507	219.318
70.618	219.517
70.729	219.914
70.840	220.311
70.951	220.510
71.062	220.907
71.173	221.104
71.284	221.502
71.395	221.700
71.506	222.098
71.617	222.495
71.728	222.694
71.839	223.091
71.950	223.289
72.061	223.687
72.172	223.885
72.283	224.283
72.394	224.680
72.505	224.880
72.616	225.277
72.727	225.475
72.838	225.874
72.949	226.272
73.060	226.471
73.171	226.868
73.282	227.066
73.393	227.466
73.504	227.663
73.615	228.063
73.726	228.261
73.837	228.660
73.948	229.058
74.059	229.256
74.170	229.656
74.281	229.855
74.392	230.253
74.503	230.651
74.614	230.851
74.725	231.250
74.836	231.449
74.947	231.848
75.058	232.047
75.169	232.446
