0,-0.019646020761412305;
1,0.0018646280132425773;
2,0.007322262023889745;
3,0.01133972451676697;
4,0.0035949877124423256;
5,0.01293089914503204;
6,0.007022920030169113;
7,0.011085904334981493;
8,0.014424452889654998;
9,0.009197177670537097;
10,0.0032024325059532327;
11,0.0007221991486014318;
12,0.01308793008933239;
13,0.009616582637240356;
14,-0.003235214545733674;
15,-0.006362986314228261;
16,0.004736848540705706;
17,0.009679239175745973;
18,-0.00235551677999787;
19,0.016287042251478562;
20,0.017993641415631603;
21,0.011644455374387453;
22,-0.011560324038753636;
23,0.005735292124577325;
24,0.004347233002653652;
25,0.013017704601413339;
26,0.0042971593359696966;
27,0.008655290144238784;
28,-0.0017789135175588307;
29,0.007802961991519524;
30,0.003930360278580047;
31,0.0058196437191526534;
32,0.008305164722609008;
33,-0.0020777324438894357;
34,0.014379521753219314;
35,0.013371861550275317;
36,-0.004752047844414448;
37,0.02467188722531497;
38,-0.022588153955154632;
39,0.009103060235124442;
40,0.0019230840925213257;
41,0.017070955325780707;
42,0.00528887710110305;
43,0.006938522445519724;
44,-0.0037011930319041384;
45,0.005969051185986544;
46,0.024029635776586337;
47,0.015608139310117116;
48,0.025236171648907405;
49,0.011287866437209847;
50,0.009432280943376144;
51,0.008702678094331414;
52,0.007330958534611814;
53,0.01926818378500066;
54,0.015246389344908538;
55,0.01682690477330953;
56,0.004516014281206235;
57,0.00141891733016613;
58,0.01079563155125758;
59,0.0022947865565195883;
60,0.011409094756501124;
61,0.005893063514058941;
62,-0.0028955488091043213;
63,0.009728852495350914;
64,0.00038957051172913563;
65,0.022820745942626414;
66,0.013602333615763603;
67,0.005584451484698374;
68,-0.0026204763159288027;
69,0.025925367300936114;
70,0.0319633094550755;
71,0.0006380412004702329;
72,0.0005655835259436921;
73,-0.0007484527265623723;
74,0.0135314668840611;
75,0.0054739128051081755;
76,0.010664709672468903;
77,0.011068473656591173;
78,0.013422208820154533;
79,0.014663369756124308;
80,0.0031322548016051435;
81,-0.0017555827860397096;
82,-0.0015329722326234833;
83,0.026791571161473522;
84,0.013673573476006647;
85,0.01791962885588913;
86,-0.0024320512734844523;
87,0.029794869125130966;
88,0.004846755481802793;
89,0.0014627651021988787;
90,0.0105778640474591;
91,0.007278885987452183;
92,0.003428071922662639;
93,0.010315302221554645;
94,0.007765542492113554;
95,0.010096845793974914;
96,0.021413467284536827;
97,0.01686842438332887;
98,-0.013648748127220245;
99,0.016897605380139822;
100,0.009008197521306785;
101,0.010871637364566297;
102,0.004840499872023168;
103,0.0033646537317794526;
104,0.016669787517591437;
105,0.017924988912339925;
106,0.012086201279904753;
107,-0.00907567115287965;
108,0.010703425263419303;
109,-0.00013115954904083823;
110,0.004852470235088511;
111,0.02271624553781354;
112,0.023783065495855016;
113,-0.0013053566221024732;
114,0.009210371857393948;
115,0.028941010315334265;
116,0.008245017765112031;
117,0.012851635967027151;
118,0.011024125891984739;
119,0.01001951909911881;
120,-0.0011436622456674483;
121,0.01313928290831348;
122,0.003172959465919991;
123,-0.0019195488400165312;
124,0.006160583712925162;
125,0.0017933488576950473;
126,-0.0031487441755038404;
127,0.0029817155662551723;
128,0.019976683342801668;
129,0.004194677626962223;
130,0.005313993820135462;
131,0.0009284794822707219;
132,0.019254187128558652;
133,-0.00499688017386503;
134,0.002930593653511362;
135,-0.008461812225695328;
136,0.0031609345542069735;
137,-0.004586658992745161;
138,-0.008785402508161818;
139,0.009576271830464148;
140,0.0023038593331975643;
141,0.013332508016315248;
142,0.003705808280455204;
143,0.002424171205143996;
144,-0.010099157685149096;
145,0.0021723945299312406;
146,0.017642422495996634;
147,0.012633549686087249;
148,0.007048074286579436;
149,-0.022029497010416184;
150,0.01950231778596426;
151,-0.007581561733423073;
152,0.000782145289520943;
153,0.00782898000946889;
154,-0.0016952885495368634;
155,0.018176794044747147;
156,-0.00413982801564239;
157,-0.0024510436986385797;
158,0.011082158533440715;
159,-0.0056724537030951585;
160,0.001750910747092893;
161,-0.0014032216725456046;
162,0.012711298369134838;
163,0.004385561319204576;
164,0.004946581831703193;
165,0.01909268449448665;
166,0.013526228047432195;
167,0.014480099030468806;
168,0.015512276114833357;
169,-0.0026347168431229947;
170,0.010436839958337068;
171,0.03107543690757282;
172,0.001976607970344455;
173,0.011905823488653067;
174,0.004194317760541601;
175,0.014955799224972232;
