Motion Through Fluids Experiment Thu, Feb 15, 2024 10:45 AM
Time(sec)	Position(mm)
0.017	4.084
0.067	3.652
0.117	3.436
0.167	3.004
0.217	2.788
0.267	2.572
0.317	2.356
0.367	2.356
0.417	2.356
0.467	2.137
0.517	2.135
0.567	30.228
0.617	30.857
0.667	1.919
0.717	32.113
0.767	32.741
0.817	33.577
0.867	34.204
0.917	34.830
0.967	35.456
1.017	36.082
1.067	36.707
1.117	37.332
1.167	37.748
1.217	38.372
1.267	38.996
1.317	39.620
1.367	40.243
1.417	40.866
1.467	41.488
1.517	42.111
1.567	42.525
1.617	43.147
1.667	43.769
1.717	44.390
1.767	45.009
1.817	45.631
1.867	46.044
1.917	46.457
1.967	47.077
2.017	47.696
2.067	48.315
2.117	48.727
2.167	49.345
2.217	49.963
2.267	50.581
2.317	50.993
2.367	51.610
2.417	52.227
2.467	52.843
2.517	53.254
2.567	53.870
2.617	54.486
2.667	54.896
2.717	55.511
2.767	56.126
2.817	56.741
2.867	57.151
2.917	57.765
2.967	58.379
3.017	58.993
3.067	59.401
3.117	60.014
3.167	60.627
3.217	61.035
3.267	61.648
3.317	62.260
3.367	62.668
3.417	63.280
3.467	63.891
3.517	64.502
3.567	64.909
3.617	65.520
3.667	66.131
3.717	66.537
3.767	67.147
3.817	67.758
3.867	68.367
3.917	68.773
3.967	69.383
4.017	69.990
4.067	70.396
4.117	71.004
4.167	71.613
4.217	72.221
4.267	72.626
4.317	73.233
4.367	73.841
4.417	74.245
4.467	74.853
4.517	75.460
4.567	75.864
4.617	76.470
4.667	77.075
4.717	77.682
4.767	78.086
4.817	78.690
4.867	79.296
4.917	79.700
4.967	80.303
5.017	80.909
5.067	81.312
5.117	81.916
5.167	82.520
5.217	82.722
5.267	83.325
5.317	83.929
5.367	84.532
5.417	84.934
5.467	85.537
5.517	86.140
5.567	86.542
5.617	87.144
5.667	87.747
5.717	88.148
5.767	88.750
5.817	89.352
5.867	89.753
5.917	90.354
5.967	90.956
6.017	91.356
6.067	91.957
6.117	92.558
6.167	92.958
6.217	93.559
6.267	94.159
6.317	94.759
6.367	95.159
6.417	95.759
6.467	96.359
6.517	96.758
6.567	97.358
6.617	97.957
6.667	98.356
6.717	98.955
6.767	99.554
6.817	99.953
6.867	100.551
6.917	101.149
6.967	101.548
7.017	102.146
7.067	102.744
7.117	103.143
7.167	103.740
7.217	104.338
7.267	104.736
7.317	105.333
7.367	105.930
7.417	106.528
7.467	106.925
7.517	107.522
7.567	108.119
7.617	108.516
7.667	109.112
7.717	109.708
7.767	110.107
7.817	110.702
7.867	111.297
7.917	111.696
7.967	112.290
8.017	112.886
8.067	113.283
8.117	113.878
8.167	114.473
8.217	114.870
8.267	115.464
8.317	116.059
8.367	116.655
8.417	116.852
8.467	117.447
8.517	118.042
8.567	118.437
8.617	119.031
8.667	119.626
8.717	120.023
8.767	120.615
8.817	121.209
8.867	121.606
8.917	122.199
8.967	122.792
9.017	123.189
9.067	123.781
9.117	124.374
9.167	124.771
9.217	125.363
9.267	125.956
9.317	126.352
9.367	126.944
9.417	127.537
9.467	127.933
9.517	128.524
9.567	129.117
9.617	129.513
9.667	130.104
9.717	130.696
9.767	131.092
9.817	131.683
9.867	132.275
9.917	132.671
9.967	133.262
10.017	133.854
10.067	134.249
10.117	134.840
10.167	135.431
10.217	135.827
10.267	136.417
10.317	137.010
10.367	137.404
10.417	137.994
10.467	138.587
10.517	138.981
10.567	139.571
10.617	140.163
10.667	140.557
10.717	141.147
10.767	141.739
10.817	142.133
10.867	142.722
10.917	143.314
10.967	143.708
11.017	144.298
11.067	144.889
11.117	145.283
11.167	145.874
11.217	146.464
11.267	146.858
11.317	147.448
11.367	148.039
11.417	148.432
11.467	149.021
11.517	149.613
11.567	150.203
11.617	150.596
11.667	150.990
11.717	151.580
11.767	151.973
11.817	152.563
11.867	153.153
11.917	153.547
11.967	154.137
12.017	154.727
12.067	155.120
12.117	155.710
12.167	156.300
12.217	156.693
12.267	157.283
12.317	157.873
12.367	158.266
12.417	158.856
12.467	159.446
12.517	159.838
12.567	160.428
12.617	161.018
12.667	161.411
12.717	162.001
12.767	162.394
12.817	162.984
12.867	163.574
12.917	163.967
12.967	164.556
13.017	165.146
13.067	165.539
13.117	166.129
13.167	166.719
13.217	167.112
13.267	167.701
13.317	168.291
13.367	168.684
13.417	169.274
13.467	169.864
13.517	170.257
13.567	170.846
13.617	171.436
13.667	171.829
13.717	172.419
13.767	173.009
13.817	173.402
13.867	173.992
13.917	174.581
13.967	174.975
14.017	175.564
14.067	176.154
14.117	176.548
14.167	177.137
14.217	177.531
14.267	178.121
14.317	178.711
14.367	179.104
14.417	179.694
14.467	180.284
14.517	180.677
14.567	181.267
14.617	181.857
14.667	182.251
14.717	182.841
14.767	183.431
14.817	183.825
