Motion Through Fluids Experiment Thu, Feb 15, 2024 10:18 AM
Time(sec)	Position(mm)
0.094	3.128
0.344	3.347
0.594	2.701
0.844	14.928
1.094	15.567
1.344	15.992
1.594	16.630
1.844	17.055
2.094	17.480
2.344	17.905
2.594	18.542
2.844	18.966
3.094	19.390
3.344	19.814
3.594	20.237
3.844	20.661
4.094	21.084
4.344	21.507
4.594	21.719
4.844	22.142
5.094	22.564
5.344	22.987
5.594	23.407
5.844	23.831
6.094	24.042
6.344	24.462
6.594	24.885
6.844	25.307
7.094	25.517
7.344	25.938
7.594	26.359
7.844	26.570
8.094	26.989
8.344	27.409
8.594	27.831
8.844	28.040
9.094	28.460
9.344	28.881
9.594	29.091
9.844	29.511
10.094	29.930
10.344	30.138
10.594	30.559
10.844	30.769
11.094	31.188
11.344	31.607
11.594	31.816
11.844	32.234
12.094	32.653
12.344	32.862
12.594	33.280
12.844	33.489
13.094	33.907
13.344	34.325
13.594	34.533
13.844	34.951
14.094	35.159
14.344	35.577
14.594	35.994
14.844	36.204
15.094	36.619
15.344	36.827
15.594	37.246
15.844	37.660
16.094	37.870
16.344	38.284
16.594	38.494
16.844	38.910
17.094	39.326
17.344	39.534
17.594	39.947
17.844	40.157
18.094	40.572
18.344	40.987
18.594	41.195
18.844	41.608
19.094	41.817
19.344	42.232
19.594	42.646
19.844	42.854
20.094	43.268
20.345	43.475
20.594	43.889
20.844	44.096
21.094	44.510
21.344	44.924
21.594	45.130
21.844	45.544
22.094	45.750
22.344	46.164
22.594	46.577
22.844	46.783
23.094	47.196
23.344	47.609
23.594	47.815
23.844	48.228
24.094	48.434
24.344	48.848
24.594	49.053
24.844	49.465
25.094	49.877
25.344	50.084
25.594	50.496
25.844	50.908
26.094	51.113
26.344	51.523
26.594	51.729
26.844	52.142
27.094	52.553
27.344	52.758
27.594	53.167
27.844	53.580
28.094	53.785
28.344	54.196
28.594	54.401
28.844	54.811
29.094	55.222
29.344	55.427
29.594	55.835
29.844	56.246
30.094	56.451
30.344	56.861
30.594	57.064
30.844	57.475
31.094	57.885
31.344	58.089
31.594	58.499
31.844	58.703
32.094	59.112
32.344	59.521
32.594	59.725
32.844	60.134
33.094	60.543
33.344	60.747
33.594	61.155
33.844	61.359
34.094	61.768
34.344	62.176
34.594	62.380
34.844	62.787
35.094	62.991
35.344	63.399
35.594	63.807
35.844	64.010
36.094	64.418
36.344	64.621
36.594	65.029
36.844	65.436
37.094	65.639
37.344	66.046
37.594	66.250
37.844	66.656
38.094	67.063
38.344	67.266
38.594	67.673
