Motion Through Fluids Experiment Thu, Feb 15, 2024 10:49 AM
Time(sec)	Position(mm)
0.015	28.062
0.065	28.692
0.115	29.531
0.165	30.162
0.215	30.789
0.265	31.418
0.315	32.046
0.365	32.673
0.415	33.300
0.465	33.927
0.515	34.554
0.565	35.180
0.615	35.805
0.665	36.431
0.715	37.056
0.765	37.680
0.815	38.305
0.865	38.928
0.915	39.552
0.965	40.177
1.015	40.798
1.065	41.422
1.115	41.835
1.165	42.457
1.215	43.079
1.265	43.700
1.315	44.323
1.365	44.942
1.415	45.562
1.465	45.975
1.515	46.595
1.565	47.214
1.615	47.833
1.665	48.452
1.715	49.072
1.765	49.277
1.815	49.895
1.865	50.514
1.915	51.131
1.965	51.748
2.015	52.158
2.065	52.776
2.115	53.391
2.165	54.008
2.215	54.624
2.265	55.032
2.315	55.649
2.365	56.264
2.415	56.879
2.465	57.493
2.515	57.902
2.565	58.516
2.615	59.130
2.665	59.743
2.715	60.151
2.765	60.764
2.815	61.377
2.865	61.989
2.915	62.601
2.965	63.009
3.015	63.620
3.065	64.231
3.115	64.842
3.165	65.249
3.215	65.860
3.265	66.470
3.315	67.080
3.365	67.487
3.415	68.096
3.465	68.706
3.515	69.315
3.565	69.720
3.615	70.329
3.665	70.938
3.715	71.546
3.765	71.951
3.815	72.559
3.865	73.166
3.915	73.774
3.965	74.178
4.015	74.785
4.065	75.392
4.115	75.998
4.165	76.402
4.215	77.008
4.265	77.614
4.315	78.220
4.365	78.623
4.415	79.229
4.465	79.834
4.515	80.438
4.565	80.841
4.615	81.446
4.665	82.050
4.715	82.654
4.765	83.057
4.815	83.660
4.865	84.264
4.915	84.867
4.965	85.269
5.015	85.671
5.065	86.274
5.115	86.876
5.165	87.478
5.215	87.880
5.265	88.482
5.315	89.084
5.365	89.685
5.415	90.086
5.465	90.688
5.515	91.289
5.565	91.690
5.615	92.290
5.665	92.891
5.715	93.492
5.765	93.892
5.815	94.492
5.865	95.092
5.915	95.692
5.965	96.092
6.015	96.691
6.065	97.290
6.115	97.891
6.165	98.289
6.215	98.888
6.265	99.487
6.315	100.087
6.365	100.484
6.415	101.083
6.465	101.681
6.515	102.280
6.565	102.677
6.615	103.275
6.665	103.874
6.715	104.472
6.765	104.868
6.815	105.466
6.865	106.064
6.915	106.661
6.965	107.057
7.015	107.655
7.065	108.252
7.115	108.848
7.165	109.244
7.215	109.842
7.265	110.438
7.315	111.034
7.365	111.430
7.415	112.027
7.465	112.622
7.515	113.019
7.565	113.613
7.615	114.210
7.665	114.805
7.715	115.201
7.765	115.795
7.815	116.391
7.865	116.986
7.915	117.382
7.965	117.975
8.015	118.571
8.065	119.165
8.115	119.561
8.165	119.956
8.215	120.749
8.265	121.145
8.315	121.541
8.365	122.133
8.415	122.728
8.465	123.321
8.515	123.717
8.565	124.310
8.615	124.903
8.665	125.496
8.715	125.892
8.765	126.483
8.815	127.077
8.865	127.670
8.915	128.065
8.965	128.658
9.015	129.250
9.065	129.843
9.115	130.237
9.165	130.830
9.215	131.422
9.265	132.014
9.315	132.409
9.365	133.001
9.415	133.592
9.465	133.987
9.515	134.579
9.565	135.170
9.615	135.762
9.665	136.156
9.715	136.748
9.765	137.339
9.815	137.931
9.865	138.325
9.915	138.916
9.965	139.507
10.015	140.098
10.065	140.492
10.115	141.083
10.165	141.674
10.215	142.265
10.265	142.659
10.315	143.250
10.365	143.841
10.415	144.234
10.465	144.825
10.515	145.416
10.565	146.006
10.615	146.400
10.665	146.990
10.715	147.581
10.765	148.171
10.815	148.565
10.865	149.155
10.915	149.745
10.965	150.336
11.015	150.729
