Motion Through Fluids Experiment Thu, Feb 15, 2024 10:39 AM
Time(sec)	Position(mm)
0.046	4.668
0.108	4.022
0.170	3.806
0.232	3.592
0.294	3.376
0.356	3.158
0.418	2.942
0.480	2.726
0.542	2.726
0.604	2.726
0.666	2.510
0.728	2.510
0.790	25.964
0.852	26.385
0.914	2.294
0.976	27.014
1.038	27.435
1.100	27.855
1.162	28.277
1.224	28.487
1.286	28.907
1.348	29.325
1.410	29.535
1.472	29.956
1.534	30.373
1.596	30.583
1.658	31.002
1.720	31.421
1.782	31.630
1.844	32.049
1.906	32.258
1.968	32.676
2.030	32.885
2.092	33.304
2.154	33.721
2.216	33.930
2.278	34.348
2.340	34.767
2.402	35.184
2.464	35.393
2.526	35.810
2.589	36.019
2.650	36.227
2.712	36.642
2.774	37.060
2.836	37.269
2.898	37.685
2.960	37.893
3.022	38.309
3.084	38.517
3.146	38.933
3.208	39.141
3.270	39.557
3.332	39.764
3.394	40.180
3.456	40.388
3.518	40.803
3.580	41.010
3.642	41.425
3.704	41.633
3.766	42.047
3.828	42.255
3.890	42.669
3.952	42.876
4.014	43.291
4.076	43.498
4.138	43.912
4.200	44.119
4.262	44.533
4.324	44.739
4.386	45.153
4.448	45.360
4.510	45.773
4.572	45.980
4.634	46.393
4.696	46.600
4.758	47.013
4.820	47.219
4.882	47.632
4.944	47.838
5.006	48.251
5.068	48.457
5.130	48.663
5.192	49.075
5.254	49.487
5.316	49.693
5.378	49.899
5.440	50.311
5.502	50.517
5.564	50.928
5.626	51.134
5.688	51.546
5.750	51.751
5.812	52.162
5.874	52.368
5.936	52.574
5.998	52.984
6.060	53.395
6.123	53.601
6.184	53.806
6.246	54.216
6.308	54.628
6.370	54.832
6.432	55.037
6.494	55.447
6.556	55.652
6.618	56.062
6.680	56.267
6.742	56.677
6.804	56.882
6.866	57.291
6.928	57.496
6.990	57.907
7.052	58.110
7.114	58.519
7.176	58.724
7.238	58.930
7.300	59.337
7.362	59.746
7.424	59.950
7.486	60.154
7.548	60.563
7.610	60.767
7.672	61.176
7.734	61.380
7.796	61.584
7.858	61.992
7.920	62.400
7.982	62.604
8.044	62.808
8.106	63.215
8.168	63.623
8.230	63.827
8.292	64.031
8.354	64.438
8.416	64.847
8.478	65.049
8.540	65.254
8.602	65.659
8.664	65.863
8.726	66.271
8.788	66.475
8.850	66.678
8.912	67.083
8.974	67.491
9.036	67.694
9.098	67.898
9.160	68.304
9.222	68.507
9.284	68.912
9.346	69.116
9.408	69.522
9.470	69.725
9.532	70.131
9.594	70.332
9.656	70.739
9.718	70.942
9.780	71.145
9.842	71.549
9.904	71.753
9.966	72.158
10.028	72.361
10.090	72.766
10.152	72.968
10.214	73.373
10.276	73.576
10.338	73.778
10.400	74.181
10.462	74.587
10.524	74.790
10.586	74.992
10.648	75.396
10.710	75.598
10.772	76.003
10.834	76.205
10.896	76.609
10.958	76.811
11.020	77.215
11.082	77.417
11.144	77.619
11.206	78.022
11.268	78.426
11.330	78.628
11.392	78.829
11.454	79.233
11.516	79.636
11.578	79.838
11.640	80.040
11.702	80.443
11.764	80.644
11.826	81.047
11.888	81.249
11.950	81.450
12.012	81.853
12.074	82.256
12.136	82.457
12.198	82.658
12.260	83.061
12.322	83.463
12.384	83.664
12.446	83.866
12.508	84.268
12.570	84.469
12.632	84.871
12.694	85.072
12.756	85.474
12.818	85.675
12.880	86.077
12.942	86.278
13.004	86.479
13.066	86.880
13.128	87.282
13.190	87.483
13.252	87.684
13.314	88.085
13.376	88.486
13.438	88.687
13.500	88.888
13.562	89.289
13.624	89.489
13.686	89.890
13.748	90.091
13.810	90.492
13.872	90.692
13.934	91.093
13.996	91.293
14.058	91.494
14.120	91.894
14.182	92.295
14.244	92.495
14.306	92.695
14.368	93.096
14.430	93.496
14.492	93.696
14.554	93.896
14.616	94.296
14.678	94.496
14.740	94.896
14.802	95.096
14.864	95.296
14.926	95.696
14.988	96.096
15.050	96.296
15.112	96.495
15.174	96.895
15.236	97.295
15.298	97.494
15.360	97.694
15.422	98.094
15.484	98.293
15.546	98.693
15.608	98.892
15.670	99.291
15.732	99.491
15.794	99.890
15.856	100.089
15.918	100.289
15.980	100.688
16.042	101.087
16.104	101.286
16.166	101.486
16.228	101.884
16.290	102.283
16.352	102.482
16.414	102.682
16.476	103.080
16.538	103.279
16.600	103.678
16.662	103.877
16.724	104.275
16.786	104.474
16.848	104.872
16.910	105.072
16.972	105.271
17.034	105.669
17.096	106.067
17.158	106.266
17.220	106.465
17.282	106.863
17.344	107.061
17.406	107.459
17.468	107.658
17.530	108.056
17.592	108.255
17.654	108.654
17.716	108.851
17.778	109.249
17.840	109.447
17.902	109.846
17.964	110.043
18.026	110.242
18.088	110.639
18.150	111.037
18.212	111.236
18.274	111.434
18.336	111.831
18.398	112.029
18.460	112.428
18.522	112.625
18.584	113.022
18.646	113.220
18.708	113.618
18.770	113.816
18.832	114.014
18.894	114.411
18.956	114.809
19.018	115.007
19.080	115.204
19.142	115.601
19.204	115.998
19.266	116.197
19.328	116.394
19.390	116.790
19.452	116.988
19.514	117.386
19.576	117.583
19.638	117.782
19.700	118.177
19.762	118.575
19.824	118.771
19.886	118.971
19.948	119.366
20.010	119.763
20.072	119.961
20.134	120.159
20.196	120.554
20.258	120.751
20.320	121.149
20.382	121.345
20.444	121.742
20.506	121.939
20.568	122.336
20.630	122.533
20.692	122.732
20.754	123.126
20.816	123.523
20.878	123.721
20.940	123.918
21.002	124.313
21.064	124.709
21.126	124.907
21.188	125.105
21.250	125.500
21.312	125.697
21.374	126.093
21.436	126.291
21.498	126.488
21.560	126.882
21.622	127.279
21.684	127.476
21.746	127.674
21.808	128.068
21.870	128.464
21.932	128.662
21.994	128.859
22.056	129.254
22.118	129.452
22.180	129.846
22.242	130.044
22.304	130.439
22.366	130.636
22.428	131.031
22.490	131.228
22.552	131.426
22.614	131.819
22.676	132.215
22.738	132.412
22.800	132.610
22.862	133.004
22.924	133.399
22.986	133.596
23.048	133.794
23.110	134.188
23.172	134.385
23.234	134.780
23.296	134.977
23.358	135.371
23.420	135.569
23.482	135.963
23.544	136.160
23.606	136.357
23.668	136.752
23.730	137.146
23.792	137.343
23.854	137.540
23.916	137.934
23.978	138.329
24.040	138.526
24.102	138.723
24.164	139.117
24.226	139.314
24.288	139.708
24.350	139.905
24.412	140.299
24.474	140.496
24.536	140.890
24.598	141.087
24.660	141.284
24.722	141.678
24.784	142.072
24.846	142.269
24.908	142.466
24.970	142.860
25.032	143.057
25.094	143.451
25.156	143.647
25.218	144.041
25.280	144.238
25.342	144.632
25.404	144.829
25.466	145.026
25.528	145.419
25.590	145.813
25.652	146.010
25.714	146.207
25.776	146.600
25.838	146.994
25.900	147.191
25.962	147.388
26.024	147.781
26.086	147.978
26.148	148.372
26.210	148.568
26.272	148.962
26.334	149.159
26.396	149.552
26.458	149.749
26.520	149.946
26.582	150.339
26.644	150.733
26.706	150.929
26.768	151.126
26.830	151.520
26.892	151.716
26.954	152.110
27.016	152.306
27.078	152.700
27.140	152.897
27.202	153.290
27.264	153.487
27.326	153.880
27.388	154.077
27.450	154.470
27.512	154.667
27.574	154.863
27.636	155.257
27.698	155.650
27.760	155.846
27.822	156.043
27.884	156.436
27.946	156.633
28.008	157.026
28.070	157.223
28.132	157.616
28.194	157.813
28.256	158.206
28.318	158.403
28.380	158.796
28.442	158.992
28.504	159.386
28.566	159.582
28.628	159.779
28.690	160.172
28.752	160.369
28.814	160.762
28.876	160.958
28.938	161.352
29.000	161.548
29.062	161.941
29.124	162.138
29.186	162.531
29.248	162.728
29.310	163.121
29.372	163.317
29.434	163.514
29.496	163.907
29.558	164.300
29.620	164.497
29.682	164.693
29.744	165.086
29.806	165.283
29.868	165.676
29.930	165.873
29.992	166.266
30.054	166.462
30.116	166.856
30.178	167.052
30.240	167.445
30.302	167.642
30.364	168.035
30.426	168.232
30.488	168.625
30.550	168.821
30.612	169.214
30.674	169.411
30.736	169.608
30.798	170.001
30.860	170.197
30.922	170.590
30.984	170.787
31.046	171.180
31.108	171.377
31.170	171.770
31.232	171.966
31.294	172.360
31.356	172.556
31.418	172.949
31.480	173.146
31.542	173.343
31.604	173.736
31.666	173.932
31.728	174.326
31.790	174.522
31.852	174.915
31.914	175.112
31.976	175.505
32.038	175.702
32.100	175.899
32.162	176.292
32.224	176.685
