Motion Through Fluids Experiment Thu, Feb 15, 2024 11:16 AM
Time(sec)	Position(mm)
0.050	0.000
0.100	0.000
0.150	0.000
0.200	0.000
0.250	0.000
0.300	0.000
0.350	0.000
0.400	0.000
0.450	0.000
0.500	97.448
0.550	0.000
0.600	0.000
0.650	109.203
0.700	113.175
0.750	0.000
0.800	0.000
0.851	124.861
0.900	128.813
0.950	132.761
1.000	0.000
1.050	140.648
1.100	144.588
1.150	0.000
1.200	152.460
1.250	156.394
1.300	160.523
1.350	164.456
1.400	168.384
1.450	172.122
1.500	176.055
1.550	179.989
1.600	183.727
1.650	187.859
1.700	191.603
1.750	195.348
1.800	199.291
1.850	203.044
1.900	206.799
1.950	210.755
2.000	0.000
2.050	0.000
2.100	220.864
2.150	0.000
2.200	0.000
2.250	0.000
2.300	0.000
2.350	0.000
2.400	0.000
2.450	0.000
2.500	0.000
2.550	0.000
2.600	0.000
2.650	0.000
2.700	0.000
2.750	0.000
2.800	0.000
2.850	0.000
2.900	0.000
2.950	0.000
3.000	0.000
3.050	0.000
3.100	0.000
3.150	0.000
3.200	0.000
3.250	0.000
3.300	0.000
3.350	0.000
3.400	0.000
3.450	0.000
3.500	0.000
3.550	0.000
3.600	0.000
3.650	0.000
3.700	0.000
3.750	0.000
3.800	0.000
3.850	0.000
3.900	0.000
3.950	0.000
4.000	0.000
4.050	0.000
4.100	0.000
4.150	0.000
4.200	0.000
4.250	0.000
4.300	0.000
4.350	0.000
4.400	0.000
4.450	0.000
4.500	0.000
