Motion Through Fluids Experiment Thu, Feb 15, 2024 11:18 AM
Time(sec)	Position(mm)
0.044	4.344
0.094	4.344
0.144	3.912
0.194	4.128
0.244	3.920
0.294	3.491
0.344	4.136
0.394	5.219
0.444	5.214
0.494	7.764
0.544	8.426
0.594	0.000
0.644	0.000
0.694	0.000
0.744	0.000
0.794	0.000
0.844	0.000
0.894	0.000
0.944	0.000
0.994	0.000
1.044	0.000
1.094	0.000
1.144	0.000
1.194	0.000
1.244	0.000
1.294	0.000
1.344	0.000
1.394	0.000
1.444	0.000
1.494	0.000
1.544	90.039
1.594	0.000
1.644	0.000
1.694	0.000
1.744	0.000
1.794	0.000
1.844	0.000
1.894	116.942
1.944	120.910
1.994	124.662
2.044	128.614
2.094	0.000
2.144	136.317
2.194	0.000
2.244	143.995
2.294	0.000
2.344	151.677
2.394	0.000
2.444	159.341
2.494	0.000
2.544	167.013
2.594	170.939
2.644	0.000
2.694	178.804
2.744	0.000
2.794	186.483
2.844	0.000
2.894	0.000
2.944	0.000
2.994	0.000
3.044	0.000
3.094	0.000
3.144	0.000
3.194	0.000
3.244	0.000
3.294	0.000
3.344	0.000
3.394	0.000
3.444	0.000
3.494	0.000
3.544	0.000
3.594	0.000
3.644	0.000
3.694	0.000
3.744	0.000
3.794	0.000
3.844	0.000
3.894	0.000
3.944	0.000
3.994	0.000
4.044	0.000
4.094	0.000
4.144	0.000
4.194	0.000
4.244	0.000
4.294	0.000
4.344	0.000
4.394	0.000
4.444	0.000
4.494	0.000
