Motion Through Fluids Experiment Thu, Feb 15, 2024 11:31 AM
Time(sec)	Position(mm)
0.040	1.795
0.090	1.579
0.140	1.358
0.190	3.473
0.240	1.993
0.290	3.900
0.340	3.522
0.390	3.537
0.440	3.763
0.490	23.183
0.540	27.820
0.591	33.269
0.640	37.231
0.690	43.248
0.740	49.438
0.790	55.388
0.840	61.310
0.890	67.409
0.940	73.688
0.990	79.940
1.040	86.374
1.090	92.988
1.140	99.782
1.190	106.754
1.240	113.908
1.290	121.243
1.340	128.564
1.390	136.071
1.440	143.568
1.490	151.057
1.540	158.344
1.590	165.824
1.640	173.302
1.690	180.781
1.740	188.462
1.790	195.952
1.840	203.454
1.890	210.968
1.940	218.498
1.990	226.047
2.040	233.619
2.090	241.215
2.140	248.840
2.190	256.496
2.240	264.189
2.290	272.125
2.340	279.900
2.390	287.517
2.440	0.000
2.490	0.000
2.540	0.000
2.590	0.000
2.640	0.000
2.690	0.000
2.740	0.000
2.790	0.000
2.840	0.000
2.890	0.000
2.940	0.000
2.990	0.000
3.040	0.000
3.090	0.000
3.140	0.000
3.190	0.000
3.240	0.000
3.290	0.000
3.340	0.000
3.390	0.000
3.440	0.000
3.490	0.000
3.540	0.000
3.590	0.000
3.640	0.000
3.690	0.000
3.740	0.000
