Motion Through Fluids Experiment Thu, Feb 15, 2024 11:24 AM
Time(sec)	Position(mm)
0.007	3.228
0.056	3.225
0.106	4.113
0.156	3.704
0.206	2.190
0.256	19.524
0.306	23.751
0.356	28.591
0.406	33.616
0.456	39.034
0.506	44.423
0.556	49.782
0.606	55.121
0.656	60.437
0.706	65.939
0.756	71.419
0.806	76.882
0.856	82.529
0.906	88.157
0.956	93.766
1.006	99.560
1.056	105.138
1.106	110.705
1.156	116.258
1.207	121.606
1.256	127.142
1.306	132.673
1.356	138.392
1.406	144.107
1.456	149.818
1.506	155.526
1.556	161.429
1.606	167.330
1.656	173.232
1.706	179.136
1.756	184.847
1.806	190.562
1.856	196.282
1.906	202.008
1.956	207.741
2.006	213.484
2.056	219.236
2.106	225.198
2.156	230.975
2.206	236.765
2.256	242.772
2.306	248.596
2.356	254.641
2.406	260.505
2.456	266.391
2.506	272.504
2.556	278.440
2.606	284.609
2.656	290.189
2.706	0.000
2.756	0.000
2.806	0.000
2.856	0.000
2.906	0.000
2.956	0.000
3.006	0.000
3.056	0.000
3.106	0.000
3.156	0.000
3.206	0.000
3.256	0.000
3.306	0.000
3.356	0.000
3.406	0.000
3.456	0.000
3.506	0.000
3.556	0.000
3.606	0.000
3.656	0.000
3.706	0.000
