19,15:213,242,271,300,330,359|545,574,603,632,661,690
19,30:234,264,293,322,352,381|698,728,757,787,816,845
19,60:38,68,99,129,159,189|800,830,860,890,921,951
31,15:179,216,252,289,326,362|619,656,693,730,766,
31,30:143,180,217,254,291|473,511,548,585,622,
31,60:193,231,269,307,344|657,695,733,771,809,847
35,15:336,376,415,455,494,534|728,767,807,847,886,926
35,30:486,525,565,605,645,685|985,1025,1065,1105,1146,1186
35,60:916,958,999,1040,1081,1122|1372,1413,1454,1495,1536,1577
